dataset,n_features,k,reduction_pct
breast_cancer_wisconsin,30,3,90.0
breast_cancer_wisconsin,30,5,83.33333333333334
breast_cancer_wisconsin,30,10,66.66666666666667
breast_cancer_wisconsin,30,15,50.0
breast_cancer_wisconsin,30,20,33.333333333333336
breast_cancer_wisconsin,30,30,0.0
customer_churn,15,1,93.33333333333333
customer_churn,15,4,73.33333333333334
customer_churn,15,5,66.66666666666667
customer_churn,15,10,33.333333333333336
customer_churn,15,15,0.0
madelon,500,5,99.0
madelon,500,10,98.0
madelon,500,15,97.0
madelon,500,20,96.0
madelon,500,22,95.6
madelon,500,30,94.0
madelon,500,50,90.0
olive_oil_3class,8,3,62.5
olive_oil_3class,8,5,37.5
olive_oil_3class,8,8,0.0
olive_oil_9class,8,3,62.5
olive_oil_9class,8,5,37.5
olive_oil_9class,8,8,0.0
