dataset,method,k,ranking_table,selected_table,rows
breast_cancer_wisconsin,boruta,22,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/boruta/k_22.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/boruta/k_22_seleccionadas.csv,30
breast_cancer_wisconsin,f_classif,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,f_classif,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,f_classif,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,f_classif,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,f_classif,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,f_classif,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/f_classif/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,feature_similarity,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,feature_similarity,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,feature_similarity,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,feature_similarity,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,feature_similarity,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,feature_similarity,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/feature_similarity/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,l1_logistic,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,l1_logistic,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,l1_logistic,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,l1_logistic,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,l1_logistic,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,l1_logistic,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/l1_logistic/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,linear_svm,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,linear_svm,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,linear_svm,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_10_seleccionadas.csv,90
breast_cancer_wisconsin,linear_svm,15,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_15.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_15_seleccionadas.csv,90
breast_cancer_wisconsin,linear_svm,20,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_20.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_20_seleccionadas.csv,90
breast_cancer_wisconsin,linear_svm,30,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_30.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/linear_svm/k_30_seleccionadas.csv,90
breast_cancer_wisconsin,mrmr_approx,3,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_3.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_3_seleccionadas.csv,90
breast_cancer_wisconsin,mrmr_approx,5,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_5.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_5_seleccionadas.csv,90
breast_cancer_wisconsin,mrmr_approx,10,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_10.csv,results/tables/05_feature_selection/granular/breast_cancer_wisconsin/mrmr_approx/k_10_seleccionadas.csv,90
