dataset,origen,codigo,n,proporcion
breast_cancer_wisconsin,raw_codificado,0,357,0.6274165202108963
breast_cancer_wisconsin,raw_codificado,1,212,0.37258347978910367
breast_cancer_wisconsin,processed,0,357,0.6274165202108963
breast_cancer_wisconsin,processed,1,212,0.37258347978910367
customer_churn,raw_codificado,0,190833,0.4328928027003484
customer_churn,raw_codificado,1,249999,0.5671071972996515
customer_churn,processed,0,190833,0.4328928027003484
customer_churn,processed,1,249999,0.5671071972996515
madelon,raw_codificado,0,1000,0.5
madelon,raw_codificado,1,1000,0.5
madelon,processed,0,1000,0.5
madelon,processed,1,1000,0.5
olive_oil,raw_codificado,0,56,0.0979020979020979
olive_oil,raw_codificado,1,33,0.057692307692307696
olive_oil,raw_codificado,2,50,0.08741258741258741
olive_oil,raw_codificado,3,65,0.11363636363636363
olive_oil,raw_codificado,4,25,0.043706293706293704
olive_oil,raw_codificado,5,36,0.06293706293706294
olive_oil,raw_codificado,6,206,0.36013986013986016
olive_oil,raw_codificado,7,51,0.08916083916083917
olive_oil,raw_codificado,8,50,0.08741258741258741
olive_oil,processed,0,56,0.0979020979020979
olive_oil,processed,1,33,0.057692307692307696
olive_oil,processed,2,50,0.08741258741258741
olive_oil,processed,3,65,0.11363636363636363
olive_oil,processed,4,25,0.043706293706293704
olive_oil,processed,5,36,0.06293706293706294
olive_oil,processed,6,206,0.36013986013986016
olive_oil,processed,7,51,0.08916083916083917
olive_oil,processed,8,50,0.08741258741258741
