dataset,variable,spearman_abs,spearman_p_value,mutual_info,score_asociacion,n_usado,spearman_q_value_bh,fdr_significativo_005,ranking
breast_cancer_wisconsin,perimeter_worst,0.7963185971607477,6.742651677441204e-126,0.4718422912925253,0.6340804442266366,569,2.0227955032323613e-124,True,1
breast_cancer_wisconsin,area_worst,0.786901907423319,5.641911217140801e-121,0.46431328562695495,0.625607596525137,569,5.641911217140801e-120,True,2
breast_cancer_wisconsin,radius_worst,0.7879329568959095,1.6777348390580023e-121,0.45123003298461906,0.6195814949402643,569,2.5166022585870033e-120,True,3
breast_cancer_wisconsin,concave_points_worst,0.7816735854904382,2.3870209152767226e-118,0.43625481544152267,0.6089642004659804,569,1.790265686457542e-117,True,4
breast_cancer_wisconsin,concave_points_mean,0.777877465455518,1.736698727386127e-116,0.43880644648738687,0.6083419559714525,569,1.0420192364316764e-115,True,5
breast_cancer_wisconsin,perimeter_mean,0.7484960094161621,3.162795116297112e-103,0.402360812274962,0.5754284108455621,569,1.581397558148556e-102,True,6
breast_cancer_wisconsin,concavity_mean,0.7333078827585809,4.509903064874923e-97,0.37544686818672335,0.5543773754726522,569,1.691213649328096e-96,True,7
breast_cancer_wisconsin,radius_mean,0.7327849896210553,7.219245917007412e-97,0.3622757661688467,0.547530377894951,569,2.406415305669137e-96,True,8
breast_cancer_wisconsin,area_mean,0.7341224574055575,2.1622214130802993e-97,0.36002335033029853,0.5470729038679281,569,9.266663198915569e-97,True,9
breast_cancer_wisconsin,area_se,0.7141837178954084,6.70401408764653e-90,0.3407590537454477,0.5274713858204281,569,2.011204226293959e-89,True,10
breast_cancer_wisconsin,concavity_worst,0.7057340103846973,6.459757592563469e-87,0.31525939464830843,0.5104967025165028,569,1.761752070699128e-86,True,11
breast_cancer_wisconsin,perimeter_se,0.6304113280281167,2.2838770655802392e-64,0.27561421470596326,0.45301277136704,569,5.709692663950598e-64,True,12
breast_cancer_wisconsin,radius_se,0.6169120556579272,5.7705197984270635e-61,0.2493009020957937,0.43310647887686043,569,1.3316584150216302e-60,True,13
breast_cancer_wisconsin,compactness_worst,0.6068099168638246,1.5898851311044312e-58,0.22521114898885575,0.41601053292634016,569,3.1797702622088623e-58,True,14
breast_cancer_wisconsin,compactness_mean,0.6092883740075209,4.081547265828054e-59,0.21343943327826498,0.41136390364289294,569,8.746172712488688e-59,True,15
breast_cancer_wisconsin,concave_points_se,0.4887172830438194,1.7029137001798328e-35,0.12541455216937503,0.3070659176065972,569,3.1929631878371867e-35,True,16
breast_cancer_wisconsin,texture_worst,0.47672008390934373,1.2626360277958298e-33,0.1203313174526599,0.2985257006810018,569,2.2281812255220528e-33,True,17
breast_cancer_wisconsin,concavity_se,0.4703381344990796,1.1649716028723427e-32,0.1174397233166351,0.29388892890785734,569,1.941619338120571e-32,True,18
breast_cancer_wisconsin,texture_mean,0.4619709203699609,2.000480661505196e-31,0.0965395363947501,0.2792552283823555,569,3.1586536760608353e-31,True,19
breast_cancer_wisconsin,smoothness_worst,0.4255130852280161,1.9925775527095974e-26,0.09569707667900906,0.2606050809535126,569,2.988866329064396e-26,True,20
breast_cancer_wisconsin,symmetry_worst,0.3968427049401431,6.663999844731499e-23,0.09543477212279394,0.24613873853146853,569,9.519999778187855e-23,True,21
breast_cancer_wisconsin,compactness_se,0.38066552707294943,4.633554371114469e-21,0.07339016115015573,0.22702784411155258,569,6.318483233337912e-21,True,22
breast_cancer_wisconsin,smoothness_mean,0.37189185393161533,4.196169810810846e-20,0.07973979138087928,0.2258158226562473,569,5.473264970622842e-20,True,23
breast_cancer_wisconsin,symmetry_mean,0.3325674212195175,3.6815105440402375e-16,0.06572068870620695,0.19914405496286222,569,4.601888180050297e-16,True,24
breast_cancer_wisconsin,fractal_dimension_worst,0.311476758890615,2.88237185680123e-14,0.06504130480502468,0.18825903184781984,569,3.458846228161476e-14,True,25
breast_cancer_wisconsin,fractal_dimension_se,0.20149167570094165,1.262675274417388e-06,0.03923533808367097,0.12036350689230631,569,1.45693300894314e-06,True,26
breast_cancer_wisconsin,symmetry_se,0.09230343079467163,0.027690728550273113,0.0142157926946751,0.05325961174467336,569,0.030767476166970127,True,27
breast_cancer_wisconsin,smoothness_se,0.05219309189048605,0.21382766634365666,0.015651324551999357,0.0339222082212427,569,0.22910107108248928,False,28
breast_cancer_wisconsin,fractal_dimension_mean,0.025902934814889065,0.5374813835595018,0.0058880080234731125,0.015895471419181087,569,0.5560152243718984,False,29
breast_cancer_wisconsin,texture_se,0.01941889547771949,0.6439107506673375,0.0,0.009709447738859745,569,0.6439107506673375,False,30
customer_churn,total_spend,0.4080478670395212,0.0,0.393636998507356,0.40084243277343856,12000,0.0,True,1
customer_churn,support_calls,0.5520580172175934,0.0,0.2387581235377012,0.3954080703776473,12000,0.0,True,2
customer_churn,payment_delay,0.28343487998269135,1.6706840152531942e-220,0.1304293650777959,0.20693212253024362,12000,3.898262702257453e-220,True,3
customer_churn,age,0.20438494947285257,2.3960264701383104e-113,0.12387503713843495,0.16412999330564376,12000,4.1930463227420433e-113,True,4
customer_churn,last_interaction,0.1478510067092758,1.2790130712944377e-59,0.019438089101232014,0.08364454790525391,12000,1.790618299812213e-59,True,5
customer_churn,tenure,0.052929189795514545,6.5698871900964146e-09,0.0,0.026464594897757272,12000,7.664868388445818e-09,True,6
customer_churn,usage_frequency,0.04436172896986144,1.1651671802421604e-06,0.002402566770464132,0.023382147870162785,12000,1.1651671802421604e-06,True,7
madelon,feat_241,0.22698635809225653,8.740661649193599e-25,0.04345248084674935,0.13521941946950294,2000,4.1865445458224614e-22,True,1
madelon,feat_475,0.22563437953644128,1.6746178183289846e-24,0.02115688893101275,0.12339563423372701,2000,4.1865445458224614e-22,True,2
madelon,feat_336,0.16930297743468076,2.5014541938600894e-14,0.03723118242638135,0.10326707993053105,2000,4.169090323100149e-12,True,3
madelon,feat_338,0.14186028874330459,1.8600690420747164e-10,0.028029319975742206,0.0849448043595234,2000,1.8600690420747165e-08,True,4
madelon,feat_64,0.1656018631478761,9.136319795689321e-14,0.0,0.08280093157393804,2000,1.1420399744611651e-11,True,5
madelon,feat_105,0.13173599238989675,3.348769173767767e-09,0.022599160985887767,0.07716757668789226,2000,2.391977981262691e-07,True,6
madelon,feat_128,0.13421735434974905,1.6815735348093102e-09,0.014580634473400744,0.0743989944115749,2000,1.4013112790077585e-07,True,7
madelon,feat_472,0.10697615636271876,1.6276174074635962e-06,0.022816234772985666,0.06489619556785221,2000,7.398260943016346e-05,True,8
madelon,feat_48,0.11903454035319098,9.343461703726944e-08,0.006748559156548595,0.0628915497548698,2000,5.83966356482934e-06,True,9
madelon,feat_442,0.10776118861303696,1.3633759074084656e-06,0.015792000922676408,0.061776594767856685,2000,6.816879537042328e-05,True,10
madelon,feat_378,0.11544589012405554,2.25497823532846e-07,0.0,0.05772294506202777,2000,1.2527656862935887e-05,True,11
madelon,feat_493,0.09771494220780705,1.1994239276547607e-05,0.013658350040758771,0.05568664612428291,2000,0.00046131689525183103,True,12
madelon,feat_453,0.09892575195372655,9.327489394635052e-06,0.0,0.049462875976863274,2000,0.00038864539144312717,True,13
madelon,feat_323,0.06564970633062324,0.003311075900115175,0.014912159934855396,0.04028093313273932,2000,0.11825271071839909,False,14
madelon,feat_205,0.046819740127097983,0.036288355745269604,0.023668786744577952,0.03524426343583797,2000,0.5507416778430407,False,15
madelon,feat_384,0.049371688183940866,0.027248794067512815,0.02053606183060297,0.034953875007271915,2000,0.48654566708159763,False,16
madelon,feat_481,0.03859007545210196,0.08446182990960499,0.02715168504467802,0.032870880248389994,2000,0.6891900616129426,False,17
madelon,feat_329,0.04928277855079423,0.027527564575442517,0.016006504867957627,0.03264464170937593,2000,0.48654566708159763,False,18
madelon,feat_424,0.05624496855496354,0.011877249729388762,0.008216080146050908,0.032230524350507224,2000,0.3493308743937871,False,19
madelon,feat_243,0.044349417908489924,0.047356033828572314,0.018966425451330204,0.031657921679910064,2000,0.626016707035655,False,20
madelon,feat_177,0.04640136752964428,0.037990932899033256,0.016311731635084703,0.03135654958236449,2000,0.5586901896916655,False,21
madelon,feat_282,0.05652541744270968,0.011460504446863513,0.0032922082061570546,0.02990881282443337,2000,0.3493308743937871,False,22
madelon,feat_296,0.054274051283270945,0.01520407592786848,0.005167562560265404,0.029720806921768175,2000,0.3526965449117628,False,23
madelon,feat_411,0.058261993893206215,0.009156888324851379,0.0,0.029130996946603108,2000,0.3052296108283793,False,24
madelon,feat_425,0.04906535807569558,0.028219648690732662,0.008635438973497722,0.02885039852459665,2000,0.48654566708159763,False,25
madelon,feat_196,0.036980700634818744,0.09825786437128908,0.01977682140642445,0.028378761020621597,2000,0.6891900616129426,False,26
madelon,feat_298,0.05446737890812716,0.014844902831685242,0.001429667579859073,0.027948523243993117,2000,0.3526965449117628,False,27
madelon,feat_377,0.053746160859683687,0.016224041065941087,0.001534720451823457,0.02764044065575357,2000,0.3526965449117628,False,28
madelon,feat_10,0.05479386975710627,0.014255275375087207,0.0,0.027396934878553134,2000,0.3526965449117628,False,29
madelon,feat_445,0.04096630629514008,0.06699725362558792,0.013604022597905718,0.0272851644465229,2000,0.6754879704279066,False,30
madelon,feat_430,0.05400499425049766,0.015716660666439147,0.0,0.02700249712524883,2000,0.3526965449117628,False,31
madelon,feat_136,0.053894459516165345,0.015931605600032345,0.0,0.026947229758082673,2000,0.3526965449117628,False,32
madelon,feat_431,0.048331327876963266,0.030667965869952518,0.0050833327463915,0.026707330311677383,2000,0.49766501000804564,False,33
madelon,feat_152,0.04050474922295394,0.07013494094513102,0.012612300001616727,0.026558524612285334,2000,0.6754879704279066,False,34
madelon,feat_139,0.02674528687038373,0.23187156003907805,0.025635001188888173,0.026190144029635952,2000,0.8284007416860479,False,35
madelon,feat_55,0.05221354276644095,0.019533303928511898,0.0,0.026106771383220474,2000,0.4069438318439979,False,36
madelon,feat_163,0.03876307570350241,0.08307700490790358,0.012896259117406439,0.025829667410454425,2000,0.6891900616129426,False,37
madelon,feat_146,0.03692265408571122,0.09878721628864576,0.014418193025001802,0.025670423555356512,2000,0.6891900616129426,False,38
madelon,feat_4,0.04393060005956448,0.04948879444186651,0.007230207317898474,0.025580403688731476,2000,0.626016707035655,False,39
madelon,feat_456,0.05091901675865805,0.022773016142220586,0.0,0.025459508379329025,2000,0.45546032284441174,False,40
madelon,feat_285,0.043753130779255446,0.05041651318873146,0.007076367203764589,0.025414748991510017,2000,0.626016707035655,False,41
madelon,feat_153,0.03686785498420405,0.09928903852231553,0.01360941198835719,0.02523863348628062,2000,0.6891900616129426,False,42
madelon,feat_137,0.05012859313874806,0.024972571783224703,0.0,0.02506429656937403,2000,0.4802417650620135,False,43
madelon,feat_248,0.039362137791406564,0.07842309749972702,0.010641088155327605,0.025001612973367084,2000,0.6891900616129426,False,44
madelon,feat_457,0.042680019288725994,0.05634150363320895,0.006910675950573042,0.024795347619649518,2000,0.626016707035655,False,45
madelon,feat_286,0.046804566294659906,0.03634895073764068,0.002383468721527393,0.02459401750809365,2000,0.5507416778430407,False,46
madelon,feat_85,0.04209526020517407,0.059806881051630185,0.006872165359856686,0.024483712782515377,2000,0.6327774550440055,False,47
madelon,feat_36,0.012854771501275255,0.5655975763950698,0.03594721454527727,0.024400993023276266,2000,0.9232225989204562,False,48
madelon,feat_412,0.03543302291987388,0.11316648029904008,0.013334121540930388,0.024383572230402134,2000,0.6900395140185371,False,49
madelon,feat_61,0.03684151843467559,0.09953093732283433,0.011816595725242962,0.024329057079959276,2000,0.6891900616129426,False,50
madelon,feat_239,0.019377692233346212,0.38641543023889513,0.028981948765305576,0.024179820499325894,2000,0.8836510341692569,False,51
madelon,feat_458,0.032938517175597995,0.14087676140369834,0.015382997379144392,0.024160757277371193,2000,0.7616959696162209,False,52
madelon,feat_496,0.04827728119401769,0.03085523062049883,0.0,0.024138640597008845,2000,0.49766501000804564,False,53
madelon,feat_309,0.041941537345019056,0.06074663568422453,0.005714353523000648,0.023827945434009852,2000,0.6327774550440055,False,54
madelon,feat_349,0.01867067264111753,0.4039831827751277,0.02849755384091468,0.023584113241016107,2000,0.8836510341692569,False,55
madelon,feat_490,0.03657556253129159,0.1020001291187155,0.010124549046431452,0.023350055788861523,2000,0.6891900616129426,False,56
madelon,feat_494,0.04282077244581267,0.055532796635507184,0.003703868868766058,0.023262320657289365,2000,0.626016707035655,False,57
madelon,feat_56,0.0435156946658334,0.0516804429493241,0.00272642686632385,0.023121060766078626,2000,0.626016707035655,False,58
madelon,feat_127,0.03706736422229,0.09747175692329213,0.008754468065321097,0.022910916143805547,2000,0.6891900616129426,False,59
madelon,feat_414,0.03460812738907531,0.12181059792075284,0.010966202858305962,0.022787165123690636,2000,0.7275634366912919,False,60
madelon,feat_199,0.04527242735582845,0.04292729426271341,0.0,0.022636213677914224,2000,0.6132470608959059,False,61
madelon,feat_119,0.04469610089125702,0.0456495334448493,0.0,0.02234805044562851,2000,0.626016707035655,False,62
madelon,feat_410,0.043837086485832545,0.04997583629081967,0.0,0.021918543242916273,2000,0.626016707035655,False,63
madelon,feat_279,0.031891378893557816,0.1539558800378858,0.011927265814956955,0.021909322354257386,2000,0.7854891838667644,False,64
madelon,feat_226,0.03819940066918619,0.08765778612645309,0.005566724966916237,0.021883062818051212,2000,0.6891900616129426,False,65
madelon,feat_161,0.04329145993033483,0.0528983188627187,0.0003009587886502185,0.021796209359492523,2000,0.626016707035655,False,66
madelon,feat_53,0.03760127397871163,0.09273896950551964,0.005811210293251268,0.02170624213598145,2000,0.6891900616129426,False,67
madelon,feat_333,0.042903698215612775,0.05506088170613555,0.0,0.021451849107806387,2000,0.626016707035655,False,68
