dataset,variable,presente_raw,presente_processed
breast_cancer_wisconsin,area_mean,True,True
breast_cancer_wisconsin,area_se,True,True
breast_cancer_wisconsin,area_worst,True,True
breast_cancer_wisconsin,compactness_mean,True,True
breast_cancer_wisconsin,compactness_se,True,True
breast_cancer_wisconsin,compactness_worst,True,True
breast_cancer_wisconsin,concave_points_mean,True,True
breast_cancer_wisconsin,concave_points_se,True,True
breast_cancer_wisconsin,concave_points_worst,True,True
breast_cancer_wisconsin,concavity_mean,True,True
breast_cancer_wisconsin,concavity_se,True,True
breast_cancer_wisconsin,concavity_worst,True,True
breast_cancer_wisconsin,fractal_dimension_mean,True,True
breast_cancer_wisconsin,fractal_dimension_se,True,True
breast_cancer_wisconsin,fractal_dimension_worst,True,True
breast_cancer_wisconsin,id,True,False
breast_cancer_wisconsin,perimeter_mean,True,True
breast_cancer_wisconsin,perimeter_se,True,True
breast_cancer_wisconsin,perimeter_worst,True,True
breast_cancer_wisconsin,radius_mean,True,True
breast_cancer_wisconsin,radius_se,True,True
breast_cancer_wisconsin,radius_worst,True,True
breast_cancer_wisconsin,smoothness_mean,True,True
breast_cancer_wisconsin,smoothness_se,True,True
breast_cancer_wisconsin,smoothness_worst,True,True
breast_cancer_wisconsin,symmetry_mean,True,True
breast_cancer_wisconsin,symmetry_se,True,True
breast_cancer_wisconsin,symmetry_worst,True,True
breast_cancer_wisconsin,target,True,True
breast_cancer_wisconsin,texture_mean,True,True
breast_cancer_wisconsin,texture_se,True,True
breast_cancer_wisconsin,texture_worst,True,True
customer_churn,Age,True,False
customer_churn,Churn,True,False
customer_churn,Contract Length,True,False
customer_churn,CustomerID,True,False
customer_churn,Gender,True,False
customer_churn,Last Interaction,True,False
customer_churn,Payment Delay,True,False
customer_churn,Subscription Type,True,False
customer_churn,Support Calls,True,False
customer_churn,Tenure,True,False
customer_churn,Total Spend,True,False
customer_churn,Usage Frequency,True,False
customer_churn,age,False,True
customer_churn,contract_length,False,True
customer_churn,gender,False,True
customer_churn,last_interaction,False,True
customer_churn,payment_delay,False,True
customer_churn,subscription_type,False,True
customer_churn,support_calls,False,True
customer_churn,target,False,True
customer_churn,tenure,False,True
customer_churn,total_spend,False,True
customer_churn,usage_frequency,False,True
madelon,feat_0,True,True
madelon,feat_1,True,True
madelon,feat_10,True,True
madelon,feat_100,True,True
madelon,feat_101,True,True
madelon,feat_102,True,True
madelon,feat_103,True,True
madelon,feat_104,True,True
madelon,feat_105,True,True
madelon,feat_106,True,True
madelon,feat_107,True,True
madelon,feat_108,True,True
madelon,feat_109,True,True
madelon,feat_11,True,True
madelon,feat_110,True,True
madelon,feat_111,True,True
madelon,feat_112,True,True
madelon,feat_113,True,True
madelon,feat_114,True,True
madelon,feat_115,True,True
madelon,feat_116,True,True
madelon,feat_117,True,True
madelon,feat_118,True,True
madelon,feat_119,True,True
madelon,feat_12,True,True
madelon,feat_120,True,True
madelon,feat_121,True,True
madelon,feat_122,True,True
madelon,feat_123,True,True
madelon,feat_124,True,True
madelon,feat_125,True,True
madelon,feat_126,True,True
