original_index,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,other
509,1170,110,240,7730,630,30,90,1
333,1098,88,212,7338,1140,28,67,1
70,1412,124,298,7182,790,45,68,28
503,1350,80,250,7520,760,10,30,1
128,1318,179,177,7030,1194,35,42,25
230,1348,159,238,7017,1081,31,67,25
401,1075,86,231,7403,1109,22,73,3
193,1447,236,245,6607,1336,33,51,21
120,1334,186,229,7261,827,34,56,20
370,1166,97,272,6971,1390,20,83,3
147,1336,185,223,6956,1155,56,73,16
379,1135,94,235,7123,1320,24,67,2
231,1341,155,244,6958,1144,32,68,26
56,1183,146,292,7580,618,38,51,23
398,1065,98,230,7345,1163,24,74,1
430,1065,65,178,7965,605,22,65,2
469,1095,50,210,7948,600,25,35,2
260,1339,170,275,6838,1060,46,88,43
297,1187,139,185,7427,952,29,56,22
134,1336,155,212,7103,1086,33,55,20
172,1539,194,213,6764,1178,38,58,16
468,1105,55,205,7965,600,25,20,2
366,1092,106,219,7427,1125,33,77,1
438,1095,58,198,7950,602,35,32,1
126,1335,159,197,6974,1220,36,60,17
459,1110,75,220,7915,510,55,65,2
121,1301,156,207,7003,1229,41,48,14
488,1020,100,270,7770,710,40,90,1
516,1150,80,240,7800,630,30,70,2
494,1050,100,250,7930,630,10,30,3
434,1075,68,195,7960,602,20,40,3
44,1323,96,300,7351,757,47,54,26
169,1408,176,192,6909,1195,45,50,25
125,1248,163,158,7103,1222,31,60,14
321,1680,270,170,6440,1310,31,62,28
286,993,58,267,7743,773,41,62,44
402,1040,103,228,7364,1173,25,66,2
531,1030,110,220,7760,980,0,0,2
265,926,41,277,7815,784,45,65,25
347,1092,104,234,7355,1126,28,58,2
388,1105,88,210,7353,1142,28,72,1
324,1042,135,210,7376,1116,35,90,3
157,1462,204,237,6644,1309,42,54,28
18,961,70,195,7958,742,46,75,30
306,1742,221,156,6415,1315,43,82,23
480,1180,90,250,7520,800,50,100,2
237,1323,147,210,7108,1070,33,61,20
54,1184,112,311,7391,819,48,57,28
156,1438,206,248,6806,1183,34,57,28
493,1100,80,240,7820,670,20,70,2
487,1090,90,280,7730,720,50,100,1
187,1206,218,242,7193,1002,37,54,25
311,1590,241,195,6705,1149,27,68,21
348,1119,81,219,7409,1057,33,81,2
547,1010,90,350,7630,940,10,0,3
270,916,52,281,7870,694,42,64,58
382,1140,95,258,7085,1347,23,71,3
322,1463,164,185,6909,1154,49,58,17
484,1160,90,220,7580,790,40,90,1
463,1072,49,178,7980,615,48,48,2
99,1286,163,183,7040,1230,29,57,12
513,1140,90,240,7880,570,20,60,3
555,960,90,300,7820,830,0,0,3
350,1047,101,238,7385,1120,28,89,1
417,1087,89,243,7200,1302,18,60,1
59,1225,134,232,7658,616,36,49,26
449,1070,75,188,7980,602,22,45,2
406,1110,91,201,7318,1185,24,74,2
242,1368,174,205,7042,1066,31,57,26
443,1090,60,195,7950,600,32,38,2
80,1255,103,223,7395,848,47,56,30
168,1314,140,207,7020,1220,28,59,12
550,1020,90,350,7620,920,10,0,3
355,1103,109,220,7335,1140,28,59,2
465,1110,80,215,7910,525,50,60,1
525,1070,120,210,7600,990,0,10,3
568,1060,100,270,7740,810,10,10,3
224,1419,192,207,6996,1014,36,70,36
407,1091,108,218,7383,1183,28,88,3
317,1692,270,234,6499,1196,31,59,15
518,1150,70,220,7850,620,20,40,2
202,1339,166,226,6928,1198,30,60,23
425,1090,60,195,7955,600,28,42,2
552,1010,90,350,7610,930,10,0,3
254,1514,162,298,6725,1119,45,93,30
24,1065,45,245,7779,696,47,82,38
