dataset,target,clase,n,proporcion
breast_cancer_wisconsin,target,B,357,0.6274165202108963
breast_cancer_wisconsin,target,M,212,0.37258347978910367
customer_churn,Churn,1.0,249999,0.5671071972996515
customer_churn,Churn,0.0,190833,0.4328928027003484
madelon,target,-1,1000,0.5
madelon,target,1,1000,0.5
olive_oil,target,South-Apulia,206,0.36013986013986016
olive_oil,target,Inland-Sardinia,65,0.11363636363636363
olive_oil,target,Calabria,56,0.0979020979020979
olive_oil,target,Umbria,51,0.08916083916083917
olive_oil,target,West-Liguria,50,0.08741258741258741
olive_oil,target,East-Liguria,50,0.08741258741258741
olive_oil,target,Sicily,36,0.06293706293706294
olive_oil,target,Coast-Sardinia,33,0.057692307692307696
olive_oil,target,North-Apulia,25,0.043706293706293704
