dataset,variable,media,desviacion,minimo,mediana,maximo,skewness,kurtosis,outlier_rate_iqr,missing_pct
breast_cancer_wisconsin,radius_mean,14.127291739894552,3.5240488262120775,6.981,13.37,28.11,0.9423795716730992,0.8455216229065377,0.02460456942003515,0.0
breast_cancer_wisconsin,texture_mean,19.289648506151142,4.301035768166949,9.71,18.84,39.28,0.6504495420828159,0.7583189723727752,0.012302284710017574,0.0
breast_cancer_wisconsin,perimeter_mean,91.96903339191564,24.298981038754906,43.79,86.24,188.5,0.9906504253930081,0.9722135477110654,0.022847100175746926,0.0
breast_cancer_wisconsin,area_mean,654.8891036906855,351.914129181653,143.5,551.1,2501.0,1.6457321756240424,3.6523027623507582,0.043936731107205626,0.0
breast_cancer_wisconsin,smoothness_mean,0.0963602811950791,0.01406412813767362,0.05263,0.09587,0.1634,0.45632376481955844,0.8559749303632245,0.01054481546572935,0.0
breast_cancer_wisconsin,compactness_mean,0.10434098418277679,0.052812757932512194,0.01938,0.09263,0.3454,1.1901230311980404,1.650130467219256,0.028119507908611598,0.0
breast_cancer_wisconsin,concavity_mean,0.0887993158172232,0.07971980870789348,0.0,0.06154,0.4268,1.4011797389486722,1.9986375291042124,0.03163444639718805,0.0
breast_cancer_wisconsin,concave_points_mean,0.04891914586994728,0.038802844859153605,0.0,0.0335,0.2012,1.1711800812336282,1.066555702965477,0.01757469244288225,0.0
breast_cancer_wisconsin,symmetry_mean,0.18116186291739894,0.027414281336035715,0.106,0.1792,0.304,0.7256089733641999,1.2879329922294565,0.026362038664323375,0.0
breast_cancer_wisconsin,fractal_dimension_mean,0.06279760984182776,0.007060362795084459,0.04996,0.06154,0.09744,1.3044888125755076,3.0058921201694933,0.026362038664323375,0.0
breast_cancer_wisconsin,radius_se,0.40517205623901575,0.2773127329861039,0.1115,0.3242,2.873,3.0886121663847574,17.686725966164644,0.06678383128295255,0.0
breast_cancer_wisconsin,texture_se,1.2168534270650264,0.5516483926172023,0.3602,1.108,4.885,1.646443808753053,5.349168692469973,0.0351493848857645,0.0
breast_cancer_wisconsin,perimeter_se,2.8660592267135327,2.0218545540421076,0.757,2.287,21.98,3.443615202194899,21.40190492588045,0.06678383128295255,0.0
breast_cancer_wisconsin,area_se,40.337079086116,45.49100551613181,6.802,24.53,542.2,5.447186284898394,49.20907650724119,0.11423550087873462,0.0
breast_cancer_wisconsin,smoothness_se,0.007040978910369069,0.0030025179438390656,0.001713,0.00638,0.03113,2.314450056636759,10.469839532360393,0.05272407732864675,0.0
breast_cancer_wisconsin,compactness_se,0.025478138840070295,0.017908179325677388,0.002252,0.02045,0.1354,1.9022207096378565,5.10625248342338,0.0492091388400703,0.0
breast_cancer_wisconsin,concavity_se,0.03189371634446397,0.03018606032298841,0.0,0.02589,0.396,5.110463049043661,48.8613953017919,0.03866432337434095,0.0
breast_cancer_wisconsin,concave_points_se,0.011796137082601054,0.006170285174046869,0.0,0.01093,0.05279,1.4446781446974786,5.1263019430439565,0.033391915641476276,0.0
breast_cancer_wisconsin,symmetry_se,0.02054229876977153,0.008266371528798399,0.007882,0.01873,0.07895,2.1951328995478216,7.896129827528971,0.04745166959578207,0.0
breast_cancer_wisconsin,fractal_dimension_se,0.0037949038664323374,0.002646070967089195,0.0008948,0.003187,0.02984,3.923968620227413,26.280847486373336,0.0492091388400703,0.0
breast_cancer_wisconsin,radius_worst,16.269189806678387,4.833241580469323,7.93,14.97,36.04,1.1031152059604372,0.9440895758772196,0.029876977152899824,0.0
breast_cancer_wisconsin,texture_worst,25.677223198594024,6.146257623038319,12.02,25.41,49.54,0.49832130948716474,0.22430186846478772,0.008787346221441126,0.0
breast_cancer_wisconsin,perimeter_worst,107.26121265377857,33.602542269036356,50.41,97.66,251.2,1.1281638713683722,1.070149666654432,0.026362038664323375,0.0
breast_cancer_wisconsin,area_worst,880.5831282952548,569.356992669949,185.2,686.5,4254.0,1.8593732724433467,4.396394828992138,0.061511423550087874,0.0
breast_cancer_wisconsin,smoothness_worst,0.13236859402460457,0.022832429404835465,0.07117,0.1313,0.2226,0.4154259962824678,0.5178251903311124,0.012302284710017574,0.0
breast_cancer_wisconsin,compactness_worst,0.25426504393673116,0.157336488913742,0.02729,0.2119,1.058,1.4735549003297956,3.0392881719200657,0.028119507908611598,0.0
breast_cancer_wisconsin,concavity_worst,0.27218848330404216,0.2086242806081323,0.0,0.2267,1.252,1.1502368219460262,1.6152532975830205,0.0210896309314587,0.0
breast_cancer_wisconsin,concave_points_worst,0.11460622319859401,0.06573234119594207,0.0,0.09993,0.291,0.49261552688550875,-0.5355351225188589,0.0,0.0
breast_cancer_wisconsin,symmetry_worst,0.2900755711775044,0.061867467537518685,0.1565,0.2822,0.6638,1.433927765189328,4.444559517846582,0.040421792618629174,0.0
breast_cancer_wisconsin,fractal_dimension_worst,0.0839458172231986,0.018061267348893986,0.05504,0.08004,0.2075,1.6625792663955146,5.244610555815004,0.0421792618629174,0.0
customer_churn,Age,39.37315349157956,12.442369490866625,18.0,39.0,65.0,0.16201568056624352,-0.8648533592141359,0.0,0.0
customer_churn,Tenure,31.25633574695122,17.255727385042206,1.0,32.0,60.0,-0.061401610125141226,-1.1925229879486616,0.0,0.0
customer_churn,Usage Frequency,15.80749355763647,8.586241645186686,1.0,16.0,30.0,-0.04347347834004234,-1.1758148242228612,0.0,0.0
customer_churn,Support Calls,3.6044366107723578,3.0702178776887976,0.0,3.0,10.0,0.6668085055364663,-0.7459119616912311,0.0,0.0
customer_churn,Payment Delay,12.965721635452962,8.258062517501818,0.0,12.0,30.0,0.2674071254645739,-0.8956782383639781,0.0,0.0
customer_churn,Total Spend,631.6162227787459,240.80300112056855,100.0,661.0,1000.0,-0.4571740758349857,-0.7514888392126622,0.0,0.0
customer_churn,Last Interaction,14.480867995063878,8.59620768302461,1.0,14.0,30.0,0.17677405050856798,-1.1537597072278512,0.0,0.0
madelon,feat_0,481.7225,6.421768705477746,462.0,482.0,503.0,0.011467135080971106,-0.06375062212798888,0.004,0.0
madelon,feat_1,483.4525,30.186294074048945,381.0,483.0,600.0,0.04815067967298377,0.05233977937263434,0.011,0.0
madelon,feat_2,510.166,38.899164727642344,370.0,510.5,654.0,-0.028993931426857,0.3126439396846563,0.012,0.0
madelon,feat_3,483.3845,9.059895176010599,453.0,483.0,519.0,-0.012001087656989507,-0.004334762837760131,0.005,0.0
madelon,feat_4,501.6125,41.38941755682057,371.0,500.0,688.0,0.13685766717711204,0.32650777665802,0.0115,0.0
madelon,feat_5,479.259,6.795955525586735,459.0,479.0,505.0,0.0762691978040581,0.15917626242191663,0.0095,0.0
madelon,feat_6,480.1095,40.575925283427644,334.0,480.0,611.0,0.0025427660498167754,0.005641261632892469,0.009,0.0
