experiment_id,dataset,feature_set,model_name,warnings
breast_cancer_wisconsin__all_features__logistic_regression,breast_cancer_wisconsin,all_features,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
breast_cancer_wisconsin__all_features__linear_svm,breast_cancer_wisconsin,all_features,linear_svm,
breast_cancer_wisconsin__all_features__random_forest,breast_cancer_wisconsin,all_features,random_forest,
breast_cancer_wisconsin__f_classif_k10__logistic_regression,breast_cancer_wisconsin,f_classif_k10,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
breast_cancer_wisconsin__f_classif_k10__linear_svm,breast_cancer_wisconsin,f_classif_k10,linear_svm,
breast_cancer_wisconsin__f_classif_k10__random_forest,breast_cancer_wisconsin,f_classif_k10,random_forest,
breast_cancer_wisconsin__mrmr_approx_k10__logistic_regression,breast_cancer_wisconsin,mrmr_approx_k10,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
breast_cancer_wisconsin__mrmr_approx_k10__linear_svm,breast_cancer_wisconsin,mrmr_approx_k10,linear_svm,
breast_cancer_wisconsin__mrmr_approx_k10__random_forest,breast_cancer_wisconsin,mrmr_approx_k10,random_forest,
breast_cancer_wisconsin__mutual_info_k10__logistic_regression,breast_cancer_wisconsin,mutual_info_k10,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
breast_cancer_wisconsin__mutual_info_k10__linear_svm,breast_cancer_wisconsin,mutual_info_k10,linear_svm,
breast_cancer_wisconsin__mutual_info_k10__random_forest,breast_cancer_wisconsin,mutual_info_k10,random_forest,
breast_cancer_wisconsin__random_forest_k10__logistic_regression,breast_cancer_wisconsin,random_forest_k10,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
breast_cancer_wisconsin__random_forest_k10__linear_svm,breast_cancer_wisconsin,random_forest_k10,linear_svm,
breast_cancer_wisconsin__random_forest_k10__random_forest,breast_cancer_wisconsin,random_forest_k10,random_forest,
customer_churn__all_features__logistic_regression,customer_churn,all_features,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
customer_churn__all_features__linear_svm,customer_churn,all_features,linear_svm,
customer_churn__all_features__random_forest,customer_churn,all_features,random_forest,
customer_churn__f_classif_k10__logistic_regression,customer_churn,f_classif_k10,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
customer_churn__f_classif_k10__linear_svm,customer_churn,f_classif_k10,linear_svm,
customer_churn__f_classif_k10__random_forest,customer_churn,f_classif_k10,random_forest,
customer_churn__mrmr_approx_k10__logistic_regression,customer_churn,mrmr_approx_k10,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
customer_churn__mrmr_approx_k10__linear_svm,customer_churn,mrmr_approx_k10,linear_svm,
customer_churn__mrmr_approx_k10__random_forest,customer_churn,mrmr_approx_k10,random_forest,
customer_churn__mutual_info_k10__logistic_regression,customer_churn,mutual_info_k10,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
customer_churn__mutual_info_k10__linear_svm,customer_churn,mutual_info_k10,linear_svm,
customer_churn__mutual_info_k10__random_forest,customer_churn,mutual_info_k10,random_forest,
customer_churn__random_forest_k10__logistic_regression,customer_churn,random_forest_k10,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
customer_churn__random_forest_k10__linear_svm,customer_churn,random_forest_k10,linear_svm,
customer_churn__random_forest_k10__random_forest,customer_churn,random_forest_k10,random_forest,
madelon__all_features__logistic_regression,madelon,all_features,logistic_regression,"'multi_class' was deprecated in version 1.5 and will be removed in 1.8. From then on, it will always use 'multinomial'. Leave it to its default value to avoid this warning."
madelon__all_features__linear_svm,madelon,all_features,linear_svm,
madelon__all_features__random_forest,madelon,all_features,random_forest,
