dataset,method,family,seed,k,feature,rank,score,selected,elapsed_seconds,sample_size,status,feature_key,source,has_previous_evidence,evidence_source
breast_cancer_wisconsin,variance,filtros,42,10,symmetry_mean,7,1.0025188916876575,True,0.0001255609095096588,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,variance,filtros,42,15,symmetry_mean,7,1.0025188916876575,True,0.0001255609095096588,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,variance,filtros,42,20,symmetry_mean,7,1.0025188916876575,True,0.0001255609095096588,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,variance,filtros,42,30,symmetry_mean,7,1.0025188916876575,True,0.0001255609095096588,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,variance,filtros,42,30,fractal_dimension_mean,28,1.002518891687657,True,0.0001255609095096588,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,f_classif,filtros supervisados,42,30,symmetry_mean,22,42.294356992565874,True,0.00048555806279182434,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,f_classif,filtros supervisados,42,30,fractal_dimension_mean,29,0.7284794081889261,True,0.00048555806279182434,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,mutual_info,filtros supervisados,42,30,symmetry_mean,24,0.05955045922061375,True,0.024712467566132545,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,mutual_info,filtros supervisados,42,30,fractal_dimension_mean,30,0.0023152864083053615,True,0.024712467566132545,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,mrmr_approx,relevancia-redundancia,42,30,symmetry_mean,23,7.814196879602484,True,0.02599584124982357,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,mrmr_approx,relevancia-redundancia,42,30,fractal_dimension_mean,26,4.7718606604067,True,0.02599584124982357,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,l1_logistic,regularizacion,42,10,symmetry_mean,9,0.0,True,0.12421608064323664,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,l1_logistic,regularizacion,42,15,symmetry_mean,9,0.0,True,0.12421608064323664,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,l1_logistic,regularizacion,42,20,symmetry_mean,9,0.0,True,0.12421608064323664,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,l1_logistic,regularizacion,42,30,symmetry_mean,9,0.0,True,0.12421608064323664,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,l1_logistic,regularizacion,42,10,fractal_dimension_mean,10,0.0,True,0.12421608064323664,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,l1_logistic,regularizacion,42,15,fractal_dimension_mean,10,0.0,True,0.12421608064323664,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,l1_logistic,regularizacion,42,20,fractal_dimension_mean,10,0.0,True,0.12421608064323664,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,l1_logistic,regularizacion,42,30,fractal_dimension_mean,10,0.0,True,0.12421608064323664,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,random_forest,embedded,42,30,symmetry_mean,29,0.0021717856568866183,True,0.6278278036043048,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,random_forest,embedded,42,30,fractal_dimension_mean,23,0.00411671406361042,True,0.6278278036043048,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,linear_svm,embedded,42,30,symmetry_mean,27,0.03271526435417617,True,0.0060585737228393555,398,ok,symmetry_mean,,False,
breast_cancer_wisconsin,linear_svm,embedded,42,20,fractal_dimension_mean,16,0.14441426014507366,True,0.0060585737228393555,398,ok,fractal_dimension_mean,,False,
breast_cancer_wisconsin,linear_svm,embedded,42,30,fractal_dimension_mean,16,0.14441426014507366,True,0.0060585737228393555,398,ok,fractal_dimension_mean,,False,
customer_churn,variance,filtros,42,4,age,4,1.0000032406402208,True,0.031286382116377354,308582,ok,age,,False,
customer_churn,variance,filtros,42,5,age,4,1.0000032406402208,True,0.031286382116377354,308582,ok,age,,False,
customer_churn,variance,filtros,42,10,age,4,1.0000032406402208,True,0.031286382116377354,308582,ok,age,,False,
customer_churn,variance,filtros,42,15,age,4,1.0000032406402208,True,0.031286382116377354,308582,ok,age,,False,
customer_churn,variance,filtros,42,10,tenure,6,1.0000032406402206,True,0.031286382116377354,308582,ok,tenure,,False,
customer_churn,variance,filtros,42,15,tenure,6,1.0000032406402206,True,0.031286382116377354,308582,ok,tenure,,False,
customer_churn,variance,filtros,42,1,usage_frequency,1,1.0000032406402213,True,0.031286382116377354,308582,ok,usage_frequency,,False,
customer_churn,variance,filtros,42,4,usage_frequency,1,1.0000032406402213,True,0.031286382116377354,308582,ok,usage_frequency,,False,
customer_churn,variance,filtros,42,5,usage_frequency,1,1.0000032406402213,True,0.031286382116377354,308582,ok,usage_frequency,,False,
customer_churn,variance,filtros,42,10,usage_frequency,1,1.0000032406402213,True,0.031286382116377354,308582,ok,usage_frequency,,False,
customer_churn,variance,filtros,42,15,usage_frequency,1,1.0000032406402213,True,0.031286382116377354,308582,ok,usage_frequency,,False,
customer_churn,variance,filtros,42,10,support_calls,7,1.0000032406402206,True,0.031286382116377354,308582,ok,support_calls,,False,
customer_churn,variance,filtros,42,15,support_calls,7,1.0000032406402206,True,0.031286382116377354,308582,ok,support_calls,,False,
customer_churn,variance,filtros,42,5,payment_delay,5,1.0000032406402208,True,0.031286382116377354,308582,ok,payment_delay,,False,
customer_churn,variance,filtros,42,10,payment_delay,5,1.0000032406402208,True,0.031286382116377354,308582,ok,payment_delay,,False,
customer_churn,variance,filtros,42,15,payment_delay,5,1.0000032406402208,True,0.031286382116377354,308582,ok,payment_delay,,False,
customer_churn,variance,filtros,42,4,total_spend,2,1.0000032406402213,True,0.031286382116377354,308582,ok,total_spend,,False,
customer_churn,variance,filtros,42,5,total_spend,2,1.0000032406402213,True,0.031286382116377354,308582,ok,total_spend,,False,
customer_churn,variance,filtros,42,10,total_spend,2,1.0000032406402213,True,0.031286382116377354,308582,ok,total_spend,,False,
customer_churn,variance,filtros,42,15,total_spend,2,1.0000032406402213,True,0.031286382116377354,308582,ok,total_spend,,False,
customer_churn,variance,filtros,42,4,last_interaction,3,1.000003240640221,True,0.031286382116377354,308582,ok,last_interaction,,False,
customer_churn,variance,filtros,42,5,last_interaction,3,1.000003240640221,True,0.031286382116377354,308582,ok,last_interaction,,False,
customer_churn,variance,filtros,42,10,last_interaction,3,1.000003240640221,True,0.031286382116377354,308582,ok,last_interaction,,False,
customer_churn,variance,filtros,42,15,last_interaction,3,1.000003240640221,True,0.031286382116377354,308582,ok,last_interaction,,False,
customer_churn,variance,filtros,42,10,gender_Female,8,0.24546171584186896,True,0.031286382116377354,308582,ok,gender_female,,False,
customer_churn,variance,filtros,42,15,gender_Female,8,0.24546171584186896,True,0.031286382116377354,308582,ok,gender_female,,False,
customer_churn,variance,filtros,42,10,gender_Male,9,0.24546171584186896,True,0.031286382116377354,308582,ok,gender_male,,False,
customer_churn,variance,filtros,42,15,gender_Male,9,0.24546171584186896,True,0.031286382116377354,308582,ok,gender_male,,False,
customer_churn,variance,filtros,42,10,contract_length_Annual,10,0.24055304689137028,True,0.031286382116377354,308582,ok,contract_length_annual,,False,
customer_churn,variance,filtros,42,15,contract_length_Annual,10,0.24055304689137028,True,0.031286382116377354,308582,ok,contract_length_annual,,False,
customer_churn,variance,filtros,42,15,contract_length_Monthly,15,0.1584590774997249,True,0.031286382116377354,308582,ok,contract_length_monthly,,False,
customer_churn,variance,filtros,42,15,contract_length_Quarterly,11,0.23995223901843313,True,0.031286382116377354,308582,ok,contract_length_quarterly,,False,
customer_churn,f_classif,filtros supervisados,42,5,age,5,15542.18312139327,True,0.030310441739857197,308582,ok,age,,False,
customer_churn,f_classif,filtros supervisados,42,10,age,5,15542.18312139327,True,0.030310441739857197,308582,ok,age,,False,
customer_churn,f_classif,filtros supervisados,42,15,age,5,15542.18312139327,True,0.030310441739857197,308582,ok,age,,False,
customer_churn,f_classif,filtros supervisados,42,15,tenure,11,867.1770923143489,True,0.030310441739857197,308582,ok,tenure,,False,
customer_churn,f_classif,filtros supervisados,42,15,usage_frequency,12,661.0634231554043,True,0.030310441739857197,308582,ok,usage_frequency,,False,
customer_churn,f_classif,filtros supervisados,42,1,support_calls,1,151840.66427183928,True,0.030310441739857197,308582,ok,support_calls,,False,
customer_churn,f_classif,filtros supervisados,42,4,support_calls,1,151840.66427183928,True,0.030310441739857197,308582,ok,support_calls,,False,
customer_churn,f_classif,filtros supervisados,42,5,support_calls,1,151840.66427183928,True,0.030310441739857197,308582,ok,support_calls,,False,
customer_churn,f_classif,filtros supervisados,42,10,support_calls,1,151840.66427183928,True,0.030310441739857197,308582,ok,support_calls,,False,
customer_churn,f_classif,filtros supervisados,42,15,support_calls,1,151840.66427183928,True,0.030310441739857197,308582,ok,support_calls,,False,
customer_churn,f_classif,filtros supervisados,42,4,payment_delay,4,33227.99896740087,True,0.030310441739857197,308582,ok,payment_delay,,False,
customer_churn,f_classif,filtros supervisados,42,5,payment_delay,4,33227.99896740087,True,0.030310441739857197,308582,ok,payment_delay,,False,
customer_churn,f_classif,filtros supervisados,42,10,payment_delay,4,33227.99896740087,True,0.030310441739857197,308582,ok,payment_delay,,False,
customer_churn,f_classif,filtros supervisados,42,15,payment_delay,4,33227.99896740087,True,0.030310441739857197,308582,ok,payment_delay,,False,
customer_churn,f_classif,filtros supervisados,42,4,total_spend,3,69932.80693593084,True,0.030310441739857197,308582,ok,total_spend,,False,
customer_churn,f_classif,filtros supervisados,42,5,total_spend,3,69932.80693593084,True,0.030310441739857197,308582,ok,total_spend,,False,
customer_churn,f_classif,filtros supervisados,42,10,total_spend,3,69932.80693593084,True,0.030310441739857197,308582,ok,total_spend,,False,
customer_churn,f_classif,filtros supervisados,42,15,total_spend,3,69932.80693593084,True,0.030310441739857197,308582,ok,total_spend,,False,
customer_churn,f_classif,filtros supervisados,42,10,last_interaction,10,7093.560063141173,True,0.030310441739857197,308582,ok,last_interaction,,False,
customer_churn,f_classif,filtros supervisados,42,15,last_interaction,10,7093.560063141173,True,0.030310441739857197,308582,ok,last_interaction,,False,
customer_churn,f_classif,filtros supervisados,42,10,gender_Female,7,9877.254650449933,True,0.030310441739857197,308582,ok,gender_female,,False,
customer_churn,f_classif,filtros supervisados,42,15,gender_Female,7,9877.254650449933,True,0.030310441739857197,308582,ok,gender_female,,False,
customer_churn,f_classif,filtros supervisados,42,10,gender_Male,8,9877.254650449902,True,0.030310441739857197,308582,ok,gender_male,,False,
customer_churn,f_classif,filtros supervisados,42,15,gender_Male,8,9877.254650449902,True,0.030310441739857197,308582,ok,gender_male,,False,
customer_churn,f_classif,filtros supervisados,42,10,contract_length_Annual,6,9929.978669738442,True,0.030310441739857197,308582,ok,contract_length_annual,,False,
customer_churn,f_classif,filtros supervisados,42,15,contract_length_Annual,6,9929.978669738442,True,0.030310441739857197,308582,ok,contract_length_annual,,False,
customer_churn,f_classif,filtros supervisados,42,4,contract_length_Monthly,2,71347.55848281378,True,0.030310441739857197,308582,ok,contract_length_monthly,,False,
customer_churn,f_classif,filtros supervisados,42,5,contract_length_Monthly,2,71347.55848281378,True,0.030310441739857197,308582,ok,contract_length_monthly,,False,
customer_churn,f_classif,filtros supervisados,42,10,contract_length_Monthly,2,71347.55848281378,True,0.030310441739857197,308582,ok,contract_length_monthly,,False,
customer_churn,f_classif,filtros supervisados,42,15,contract_length_Monthly,2,71347.55848281378,True,0.030310441739857197,308582,ok,contract_length_monthly,,False,
customer_churn,f_classif,filtros supervisados,42,10,contract_length_Quarterly,9,9791.052246327046,True,0.030310441739857197,308582,ok,contract_length_quarterly,,False,
customer_churn,f_classif,filtros supervisados,42,15,contract_length_Quarterly,9,9791.052246327046,True,0.030310441739857197,308582,ok,contract_length_quarterly,,False,
customer_churn,mutual_info,filtros supervisados,42,4,age,4,0.13032884526806998,True,0.09986068028956652,5000,ok,age,,False,
customer_churn,mutual_info,filtros supervisados,42,5,age,4,0.13032884526806998,True,0.09986068028956652,5000,ok,age,,False,
customer_churn,mutual_info,filtros supervisados,42,10,age,4,0.13032884526806998,True,0.09986068028956652,5000,ok,age,,False,
customer_churn,mutual_info,filtros supervisados,42,15,age,4,0.13032884526806998,True,0.09986068028956652,5000,ok,age,,False,
customer_churn,mutual_info,filtros supervisados,42,15,tenure,13,0.0,True,0.09986068028956652,5000,ok,tenure,,False,
customer_churn,mutual_info,filtros supervisados,42,15,usage_frequency,14,0.0,True,0.09986068028956652,5000,ok,usage_frequency,,False,
customer_churn,mutual_info,filtros supervisados,42,4,support_calls,2,0.23575877099104336,True,0.09986068028956652,5000,ok,support_calls,,False,
