dataset,seccion,tipo_riesgo,evidencia,impacto,accion,riesgo_residual,estado
breast_cancer_wisconsin,5.1-5.16,riesgo_cientifico,selección ajustada exclusivamente con train,validation/test no deciden columnas,aplicar columnas seleccionadas ya fijadas,posibles proxies no detectados automáticamente,controlado
breast_cancer_wisconsin,5.1-5.16,riesgo_tecnico,artefactos generados desde un módulo importable y validado con py_compile,reduce fallos por celdas largas o estado oculto,"guardar tablas, logs y datasets reducidos desde funciones reutilizables",la ejecución completa depende de qfs_env,controlado
breast_cancer_wisconsin,5.1-5.16,riesgo_visual,"cada figura principal tiene pregunta, familia visual, clasificación y ruta estable",evita gráficos decorativos o sin decisión analítica,registrar auditoría visual y lámina de revisión,la revisión final en PDF sigue siendo manual,controlado
breast_cancer_wisconsin,5.1-5.16,riesgo_trazabilidad,"cada salida crítica conserva evidencia, decisión, impacto y riesgo residual en CSV",permite rastrear cifras del informe a artefactos,no eliminar columnas narrativas de logs/auditorías al guardar,las equivalencias con fases previas dependen de nombres normalizados,controlado
breast_cancer_wisconsin,5.1-5.16,riesgo_memoria_tfg,se genera informe Markdown/LaTeX y figuras candidatas para memoria,facilita redacción sin inventar resultados,copiar borrador LaTeX a Plantilla_Latex_GCD como fichero independiente,la integración final en capítulos de memoria puede requerir edición manual,documentado
customer_churn,5.1-5.16,riesgo_cientifico,selección ajustada exclusivamente con train,validation/test no deciden columnas,aplicar columnas seleccionadas ya fijadas,posibles proxies no detectados automáticamente,controlado
customer_churn,5.1-5.16,riesgo_tecnico,artefactos generados desde un módulo importable y validado con py_compile,reduce fallos por celdas largas o estado oculto,"guardar tablas, logs y datasets reducidos desde funciones reutilizables",la ejecución completa depende de qfs_env,controlado
customer_churn,5.1-5.16,riesgo_visual,"cada figura principal tiene pregunta, familia visual, clasificación y ruta estable",evita gráficos decorativos o sin decisión analítica,registrar auditoría visual y lámina de revisión,la revisión final en PDF sigue siendo manual,controlado
customer_churn,5.1-5.16,riesgo_trazabilidad,"cada salida crítica conserva evidencia, decisión, impacto y riesgo residual en CSV",permite rastrear cifras del informe a artefactos,no eliminar columnas narrativas de logs/auditorías al guardar,las equivalencias con fases previas dependen de nombres normalizados,controlado
customer_churn,5.1-5.16,riesgo_memoria_tfg,se genera informe Markdown/LaTeX y figuras candidatas para memoria,facilita redacción sin inventar resultados,copiar borrador LaTeX a Plantilla_Latex_GCD como fichero independiente,la integración final en capítulos de memoria puede requerir edición manual,documentado
