figure_path,section,dataset,question,visual_family,figure_type,supports_memory,analytical_intent,candidate_families,rejected_families,combined_type
results/figures/05_feature_selection/protocol/fs_k_reduction_plan.png,05_05,GLOBAL,¿Qué reducción dimensional implican los valores de k?,scatter/bubble,memory_candidate,True,comparación de reducción dimensional,bubble plot; tabla compacta; barras por dataset,tabla sola descartada porque exige comparar porcentajes mentalmente; barras múltiples más largas,
results/figures/05_feature_selection/top_features/breast_cancer_wisconsin_top_selected_features.png,05_15,breast_cancer_wisconsin,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,ranking de frecuencia de selección,barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,
results/figures/05_feature_selection/method_feature_heatmaps/breast_cancer_wisconsin_method_feature_heatmap.png,05_15,breast_cancer_wisconsin,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,composición método-feature,heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,
results/figures/05_feature_selection/method_overlap/breast_cancer_wisconsin_method_overlap_jaccard.png,05_08,breast_cancer_wisconsin,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,heatmap Jaccard,memory_candidate,True,solape entre métodos,heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,
results/figures/05_feature_selection/redundancy_by_dataset/breast_cancer_wisconsin_selected_vs_full_redundancy.png,05_12,breast_cancer_wisconsin,¿Cada método reduce o concentra redundancia frente al espacio completo?,dot plot paired,memory_candidate,True,comparación paired selected vs full,dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,
results/figures/05_feature_selection/permutation_detail/breast_cancer_wisconsin_permutation_detail.png,05_11,breast_cancer_wisconsin,¿Qué variables quedan más separadas del nulo por permutación?,barras horizontales de delta,appendix,False,distancia frente a nulo,barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,
results/figures/05_feature_selection/dataset_stories/breast_cancer_wisconsin_selection_story.png,05_15,breast_cancer_wisconsin,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",figura compuesta tres paneles,memory_candidate,True,síntesis narrativa por dataset,tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel
results/figures/05_feature_selection/top_features/customer_churn_top_selected_features.png,05_15,customer_churn,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,ranking de frecuencia de selección,barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,
results/figures/05_feature_selection/method_feature_heatmaps/customer_churn_method_feature_heatmap.png,05_15,customer_churn,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,composición método-feature,heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,
results/figures/05_feature_selection/method_overlap/customer_churn_method_overlap_jaccard.png,05_08,customer_churn,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,heatmap Jaccard,appendix,False,solape entre métodos,heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,
results/figures/05_feature_selection/redundancy_by_dataset/customer_churn_selected_vs_full_redundancy.png,05_12,customer_churn,¿Cada método reduce o concentra redundancia frente al espacio completo?,dot plot paired,appendix,False,comparación paired selected vs full,dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,
results/figures/05_feature_selection/permutation_detail/customer_churn_permutation_detail.png,05_11,customer_churn,¿Qué variables quedan más separadas del nulo por permutación?,barras horizontales de delta,appendix,False,distancia frente a nulo,barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,
results/figures/05_feature_selection/dataset_stories/customer_churn_selection_story.png,05_15,customer_churn,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",figura compuesta tres paneles,memory_candidate,True,síntesis narrativa por dataset,tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel
results/figures/05_feature_selection/top_features/madelon_top_selected_features.png,05_15,madelon,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,ranking de frecuencia de selección,barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,
results/figures/05_feature_selection/method_feature_heatmaps/madelon_method_feature_heatmap.png,05_15,madelon,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,composición método-feature,heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,
results/figures/05_feature_selection/method_overlap/madelon_method_overlap_jaccard.png,05_08,madelon,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,heatmap Jaccard,memory_candidate,True,solape entre métodos,heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,
results/figures/05_feature_selection/redundancy_by_dataset/madelon_selected_vs_full_redundancy.png,05_12,madelon,¿Cada método reduce o concentra redundancia frente al espacio completo?,dot plot paired,memory_candidate,True,comparación paired selected vs full,dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,
results/figures/05_feature_selection/permutation_detail/madelon_permutation_detail.png,05_11,madelon,¿Qué variables quedan más separadas del nulo por permutación?,barras horizontales de delta,memory_candidate,True,distancia frente a nulo,barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,
results/figures/05_feature_selection/dataset_stories/madelon_selection_story.png,05_15,madelon,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",figura compuesta tres paneles,memory_candidate,True,síntesis narrativa por dataset,tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel
results/figures/05_feature_selection/top_features/olive_oil_3class_top_selected_features.png,05_15,olive_oil_3class,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,ranking de frecuencia de selección,barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,
results/figures/05_feature_selection/method_feature_heatmaps/olive_oil_3class_method_feature_heatmap.png,05_15,olive_oil_3class,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,composición método-feature,heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,
results/figures/05_feature_selection/method_overlap/olive_oil_3class_method_overlap_jaccard.png,05_08,olive_oil_3class,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,heatmap Jaccard,appendix,False,solape entre métodos,heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,
results/figures/05_feature_selection/redundancy_by_dataset/olive_oil_3class_selected_vs_full_redundancy.png,05_12,olive_oil_3class,¿Cada método reduce o concentra redundancia frente al espacio completo?,dot plot paired,appendix,False,comparación paired selected vs full,dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,
results/figures/05_feature_selection/permutation_detail/olive_oil_3class_permutation_detail.png,05_11,olive_oil_3class,¿Qué variables quedan más separadas del nulo por permutación?,barras horizontales de delta,appendix,False,distancia frente a nulo,barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,
results/figures/05_feature_selection/dataset_stories/olive_oil_3class_selection_story.png,05_15,olive_oil_3class,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",figura compuesta tres paneles,memory_candidate,True,síntesis narrativa por dataset,tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,multipanel
results/figures/05_feature_selection/top_features/olive_oil_9class_top_selected_features.png,05_15,olive_oil_9class,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,ranking de frecuencia de selección,barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,
results/figures/05_feature_selection/method_feature_heatmaps/olive_oil_9class_method_feature_heatmap.png,05_15,olive_oil_9class,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,composición método-feature,heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,
