feature,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave_points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave_points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave_points_worst,symmetry_worst,fractal_dimension_worst
radius_mean,0.0,0.06139288810424426,2.8795155346050567,3.594310507622604,0.08274141463743212,0.19974826199327556,0.3565047763972311,0.5131952893220972,0.033023341604908385,0.16559103945067188,0.3667416137234094,0.01050647435342511,0.3859212020741598,0.5917742458581512,0.12071279098607568,0.03414060928660012,0.15719036043974444,0.17770505793018865,0.1277140747641381,0.010654269354081647,1.7586032550983728,0.09324402648741148,1.5824501452515385,1.7619019405877507,0.08278393181298838,0.18468317430779901,0.24965133699034325,0.4422695008282518,0.01625499332383873,0.0
texture_mean,0.06139288810424426,0.0,0.0868354884946616,0.05280582182451132,0.0,0.07615415048985597,0.05547551997610012,0.039463220116955355,0.026752075553928556,0.0,0.13580462295719675,0.07313815673336155,0.09442184997259262,0.18840348860211664,0.0,0.033748015429107436,0.027566610999219643,0.05560546792113219,0.0,0.0,0.09773722092890247,0.8885257517919809,0.09067916053045044,0.09645966101528924,0.01724224461290569,0.03985552016021687,0.10585656520644027,0.06975918546183024,0.0,0.0
perimeter_mean,2.8795155346050567,0.0868354884946616,0.0,2.6896274571542156,0.09781646430183,0.2153155834030116,0.3973670066932522,0.5708326561739967,0.03921532604123601,0.1273413518367159,0.3670968872157203,0.0,0.3730045687631447,0.5541515513122981,0.14421140535137988,0.040308868214884,0.14897369360352197,0.24249413045792,0.079841370613706,0.00780268961706132,1.7593607240772438,0.09978285364636652,1.7206555608598133,1.7603067633081555,0.03348835048316534,0.1990644844147007,0.24104070536807032,0.48706559549292816,0.052994548463553226,0.014297437734298146
area_mean,3.594310507622604,0.05280582182451132,2.6896274571542156,0.0,0.07917277520494581,0.17072021651724012,0.3458313528060919,0.49444927256901994,0.012044443884826839,0.1608116540685789,0.3476096974255356,0.03783100490507296,0.40760804135309114,0.5984307761679988,0.12022109206249909,0.03511899381741812,0.18249523895638187,0.17449850607000883,0.12891817302538744,0.01677756096060845,1.755645512747018,0.10348033421635172,1.5743597918439263,1.8102771888895444,0.07202706824427763,0.2103428128273206,0.23971863643061853,0.41331157985023714,0.000718915966869238,0.0
smoothness_mean,0.08274141463743212,0.0,0.09781646430183,0.07917277520494581,0.0,0.3309704137384897,0.16526964622899598,0.25875886393193825,0.151084588002391,0.19939249352939137,0.044985163793031635,0.0,0.012156009464081574,0.07019664461945996,0.047853933610592536,0.0861628231894207,0.12935385063888205,0.11766521955355635,0.0,0.08819768838886088,0.10556998425003772,0.0,0.07787177145875557,0.0715183481277577,0.5976308784324904,0.20081563397815216,0.11168992285871981,0.17406304727316368,0.010366726239732005,0.19434242854984674
compactness_mean,0.19974826199327556,0.07615415048985597,0.2153155834030116,0.17072021651724012,0.3309704137384897,0.0,0.8272841775456523,0.7112699175488817,0.16358819496936472,0.14818631290660034,0.12530581345874992,0.0,0.24461510528428487,0.17887103005615668,0.01072811536035645,0.5555076664495071,0.48123719470683546,0.41649609637784235,0.060850350144902476,0.24837525790606807,0.20523252903667522,0.049084760603237854,0.24668961109205378,0.20143130692493139,0.28802667805313353,0.9030944244008732,0.6762781609445052,0.643496040694318,0.15471831937833191,0.3095628411632543
concavity_mean,0.3565047763972311,0.05547551997610012,0.3973670066932522,0.3458313528060919,0.16526964622899598,0.8272841775456523,0.0,1.11047290050098,0.09550087172772925,0.050505828129657315,0.26821591455778937,0.0,0.2905416825509506,0.30498905864753967,0.0,0.41004203170459497,0.9319428226365143,0.5540556762243305,0.0,0.16939573301139244,0.3451625789235986,0.11740118860595383,0.46554364376658675,0.3603315176241142,0.12419612808295111,0.6559261572406874,1.1585133809980286,0.8873230011898277,0.09856503879203427,0.19588938122482857
concave_points_mean,0.5131952893220972,0.039463220116955355,0.5708326561739967,0.49444927256901994,0.25875886393193825,0.7112699175488817,1.11047290050098,0.0,0.08186867090793615,0.06395164684865451,0.32048540326418284,0.010632667284178332,0.4445679315842732,0.40939913608841816,0.0,0.2156333596233444,0.5309482679737263,0.6615202375734863,0.0,0.08267752405609285,0.524034005019107,0.05855034912781365,0.6645818282418112,0.4890435507709634,0.12341898401404272,0.46986823214360407,0.731332951451422,1.210463566949124,0.09181703825553944,0.15389215332768869
symmetry_mean,0.033023341604908385,0.026752075553928556,0.03921532604123601,0.012044443884826839,0.151084588002391,0.16358819496936472,0.09550087172772925,0.08186867090793615,0.0,0.07918286272942887,0.09872741687704645,0.0,0.08369263501872926,0.0,0.011782970945700022,0.14246799486101502,0.02646483861281479,0.09705333853975495,0.06633557663827383,0.07233812033221909,0.05741541441421716,0.10015890915394676,0.10934579776783537,0.08226774288304073,0.08719551161622863,0.1296025009745696,0.055703306624314,0.10122018631233831,0.3851910452292375,0.0953119786886083
fractal_dimension_mean,0.16559103945067188,0.0,0.1273413518367159,0.1608116540685789,0.19939249352939137,0.14818631290660034,0.050505828129657315,0.06395164684865451,0.07918286272942887,0.0,0.0,0.0,0.001776660712368594,0.0025057504980137146,0.06286999611803812,0.15584901611145274,0.017885504075831005,0.10617230640449393,0.08277491944888093,0.3578286842192677,0.1410859850661499,0.06289438098069722,0.1612324060034236,0.14805180310896437,0.14311917564778698,0.09059542780663565,0.068269835084932,0.0,0.02911982607076058,0.46266960544693947
