dataset,method,scope,validation_test_use
breast_cancer_wisconsin,variance,fit_train_only,apply_selected_columns_only
breast_cancer_wisconsin,f_classif,fit_train_only,apply_selected_columns_only
breast_cancer_wisconsin,mutual_info,fit_train_only,apply_selected_columns_only
breast_cancer_wisconsin,mrmr_approx,fit_train_only,apply_selected_columns_only
breast_cancer_wisconsin,l1_logistic,fit_train_only,apply_selected_columns_only
breast_cancer_wisconsin,random_forest,fit_train_only,apply_selected_columns_only
breast_cancer_wisconsin,linear_svm,fit_train_only,apply_selected_columns_only
customer_churn,variance,fit_train_only,apply_selected_columns_only
customer_churn,f_classif,fit_train_only,apply_selected_columns_only
customer_churn,mutual_info,fit_train_only,apply_selected_columns_only
customer_churn,mrmr_approx,fit_train_only,apply_selected_columns_only
customer_churn,l1_logistic,fit_train_only,apply_selected_columns_only
customer_churn,random_forest,fit_train_only,apply_selected_columns_only
customer_churn,linear_svm,fit_train_only,apply_selected_columns_only
madelon,variance,fit_train_only,apply_selected_columns_only
madelon,f_classif,fit_train_only,apply_selected_columns_only
madelon,mutual_info,fit_train_only,apply_selected_columns_only
madelon,mrmr_approx,fit_train_only,apply_selected_columns_only
madelon,l1_logistic,fit_train_only,apply_selected_columns_only
madelon,random_forest,fit_train_only,apply_selected_columns_only
madelon,linear_svm,fit_train_only,apply_selected_columns_only
olive_oil_3class,variance,fit_train_only,apply_selected_columns_only
olive_oil_3class,f_classif,fit_train_only,apply_selected_columns_only
olive_oil_3class,mutual_info,fit_train_only,apply_selected_columns_only
olive_oil_3class,mrmr_approx,fit_train_only,apply_selected_columns_only
olive_oil_3class,l1_logistic,fit_train_only,apply_selected_columns_only
olive_oil_3class,random_forest,fit_train_only,apply_selected_columns_only
olive_oil_3class,linear_svm,fit_train_only,apply_selected_columns_only
olive_oil_9class,variance,fit_train_only,apply_selected_columns_only
olive_oil_9class,f_classif,fit_train_only,apply_selected_columns_only
olive_oil_9class,mutual_info,fit_train_only,apply_selected_columns_only
olive_oil_9class,mrmr_approx,fit_train_only,apply_selected_columns_only
olive_oil_9class,l1_logistic,fit_train_only,apply_selected_columns_only
olive_oil_9class,random_forest,fit_train_only,apply_selected_columns_only
olive_oil_9class,linear_svm,fit_train_only,apply_selected_columns_only
