dataset,feature
breast_cancer_wisconsin,radius_mean
breast_cancer_wisconsin,texture_mean
breast_cancer_wisconsin,perimeter_mean
breast_cancer_wisconsin,area_mean
breast_cancer_wisconsin,smoothness_mean
breast_cancer_wisconsin,compactness_mean
breast_cancer_wisconsin,concavity_mean
breast_cancer_wisconsin,concave_points_mean
breast_cancer_wisconsin,symmetry_mean
breast_cancer_wisconsin,fractal_dimension_mean
breast_cancer_wisconsin,radius_se
breast_cancer_wisconsin,texture_se
breast_cancer_wisconsin,perimeter_se
breast_cancer_wisconsin,area_se
breast_cancer_wisconsin,smoothness_se
breast_cancer_wisconsin,compactness_se
breast_cancer_wisconsin,concavity_se
breast_cancer_wisconsin,concave_points_se
breast_cancer_wisconsin,symmetry_se
breast_cancer_wisconsin,fractal_dimension_se
breast_cancer_wisconsin,radius_worst
breast_cancer_wisconsin,texture_worst
breast_cancer_wisconsin,perimeter_worst
breast_cancer_wisconsin,area_worst
breast_cancer_wisconsin,smoothness_worst
breast_cancer_wisconsin,compactness_worst
breast_cancer_wisconsin,concavity_worst
breast_cancer_wisconsin,concave_points_worst
breast_cancer_wisconsin,symmetry_worst
breast_cancer_wisconsin,fractal_dimension_worst
customer_churn,age
customer_churn,tenure
customer_churn,usage_frequency
customer_churn,support_calls
customer_churn,payment_delay
customer_churn,total_spend
customer_churn,last_interaction
customer_churn,gender_Female
customer_churn,gender_Male
customer_churn,subscription_type_Basic
customer_churn,subscription_type_Premium
customer_churn,subscription_type_Standard
customer_churn,contract_length_Annual
customer_churn,contract_length_Monthly
customer_churn,contract_length_Quarterly
madelon,feat_0
madelon,feat_1
madelon,feat_2
madelon,feat_3
madelon,feat_4
madelon,feat_5
madelon,feat_6
madelon,feat_7
madelon,feat_8
madelon,feat_9
madelon,feat_10
madelon,feat_11
madelon,feat_12
madelon,feat_13
madelon,feat_14
madelon,feat_15
madelon,feat_16
madelon,feat_17
madelon,feat_18
madelon,feat_19
madelon,feat_20
madelon,feat_21
madelon,feat_22
madelon,feat_23
madelon,feat_24
madelon,feat_25
madelon,feat_26
madelon,feat_27
madelon,feat_28
madelon,feat_29
madelon,feat_30
madelon,feat_31
madelon,feat_32
madelon,feat_33
madelon,feat_34
madelon,feat_35
madelon,feat_36
madelon,feat_37
madelon,feat_38
madelon,feat_39
madelon,feat_40
madelon,feat_41
madelon,feat_42
madelon,feat_43
madelon,feat_44
madelon,feat_45
madelon,feat_46
madelon,feat_47
madelon,feat_48
madelon,feat_49
madelon,feat_50
madelon,feat_51
madelon,feat_52
madelon,feat_53
madelon,feat_54
madelon,feat_55
madelon,feat_56
madelon,feat_57
madelon,feat_58
madelon,feat_59
madelon,feat_60
madelon,feat_61
madelon,feat_62
madelon,feat_63
madelon,feat_64
madelon,feat_65
madelon,feat_66
madelon,feat_67
madelon,feat_68
madelon,feat_69
madelon,feat_70
madelon,feat_71
madelon,feat_72
madelon,feat_73
madelon,feat_74
madelon,feat_75
madelon,feat_76
madelon,feat_77
madelon,feat_78
madelon,feat_79
madelon,feat_80
madelon,feat_81
madelon,feat_82
madelon,feat_83
madelon,feat_84
madelon,feat_85
madelon,feat_86
madelon,feat_87
madelon,feat_88
madelon,feat_89
madelon,feat_90
madelon,feat_91
madelon,feat_92
madelon,feat_93
madelon,feat_94
madelon,feat_95
madelon,feat_96
madelon,feat_97
madelon,feat_98
madelon,feat_99
madelon,feat_100
madelon,feat_101
madelon,feat_102
madelon,feat_103
madelon,feat_104
madelon,feat_105
madelon,feat_106
madelon,feat_107
madelon,feat_108
madelon,feat_109
madelon,feat_110
madelon,feat_111
madelon,feat_112
madelon,feat_113
madelon,feat_114
madelon,feat_115
madelon,feat_116
madelon,feat_117
madelon,feat_118
madelon,feat_119
madelon,feat_120
madelon,feat_121
madelon,feat_122
madelon,feat_123
madelon,feat_124
madelon,feat_125
madelon,feat_126
madelon,feat_127
madelon,feat_128
madelon,feat_129
madelon,feat_130
madelon,feat_131
madelon,feat_132
madelon,feat_133
madelon,feat_134
madelon,feat_135
madelon,feat_136
madelon,feat_137
madelon,feat_138
madelon,feat_139
madelon,feat_140
madelon,feat_141
madelon,feat_142
madelon,feat_143
madelon,feat_144
madelon,feat_145
madelon,feat_146
madelon,feat_147
madelon,feat_148
madelon,feat_149
madelon,feat_150
madelon,feat_151
madelon,feat_152
madelon,feat_153
madelon,feat_154
madelon,feat_155
madelon,feat_156
madelon,feat_157
madelon,feat_158
madelon,feat_159
madelon,feat_160
madelon,feat_161
madelon,feat_162
madelon,feat_163
madelon,feat_164
madelon,feat_165
madelon,feat_166
madelon,feat_167
madelon,feat_168
madelon,feat_169
madelon,feat_170
madelon,feat_171
madelon,feat_172
madelon,feat_173
madelon,feat_174
madelon,feat_175
madelon,feat_176
madelon,feat_177
madelon,feat_178
madelon,feat_179
madelon,feat_180
madelon,feat_181
madelon,feat_182
madelon,feat_183
