dataset,variable,valores_unicos,ratio_valores_unicos,frecuencia_moda,constante,baja_cardinalidad_relativa,moda_dominante_98
breast_cancer_wisconsin,id,569,1.0,0.0017574692442882249,False,False,False
breast_cancer_wisconsin,radius_mean,456,0.8014059753954306,0.007029876977152899,False,False,False
breast_cancer_wisconsin,texture_mean,479,0.8418277680140598,0.005272407732864675,False,False,False
breast_cancer_wisconsin,perimeter_mean,522,0.9173989455184535,0.005272407732864675,False,False,False
breast_cancer_wisconsin,area_mean,539,0.9472759226713533,0.005272407732864675,False,False,False
breast_cancer_wisconsin,smoothness_mean,474,0.8330404217926186,0.008787346221441126,False,False,False
breast_cancer_wisconsin,compactness_mean,537,0.9437609841827768,0.005272407732864675,False,False,False
breast_cancer_wisconsin,concavity_mean,537,0.9437609841827768,0.022847100175746926,False,False,False
breast_cancer_wisconsin,concave_points_mean,542,0.9525483304042179,0.022847100175746926,False,False,False
breast_cancer_wisconsin,symmetry_mean,432,0.7592267135325131,0.007029876977152899,False,False,False
breast_cancer_wisconsin,fractal_dimension_mean,499,0.8769771528998243,0.005272407732864675,False,False,False
breast_cancer_wisconsin,radius_se,540,0.9490333919156415,0.005272407732864675,False,False,False
breast_cancer_wisconsin,texture_se,519,0.9121265377855887,0.005272407732864675,False,False,False
breast_cancer_wisconsin,perimeter_se,533,0.9367311072056239,0.007029876977152899,False,False,False
breast_cancer_wisconsin,area_se,528,0.9279437609841827,0.005272407732864675,False,False,False
breast_cancer_wisconsin,smoothness_se,547,0.961335676625659,0.0035149384885764497,False,False,False
breast_cancer_wisconsin,compactness_se,541,0.9507908611599297,0.005272407732864675,False,False,False
breast_cancer_wisconsin,concavity_se,533,0.9367311072056239,0.022847100175746926,False,False,False
breast_cancer_wisconsin,concave_points_se,507,0.8910369068541301,0.022847100175746926,False,False,False
breast_cancer_wisconsin,symmetry_se,498,0.875219683655536,0.007029876977152899,False,False,False
breast_cancer_wisconsin,fractal_dimension_se,545,0.9578207381370826,0.0035149384885764497,False,False,False
breast_cancer_wisconsin,radius_worst,457,0.8031634446397188,0.008787346221441126,False,False,False
breast_cancer_wisconsin,texture_worst,511,0.8980667838312829,0.005272407732864675,False,False,False
breast_cancer_wisconsin,perimeter_worst,514,0.9033391915641477,0.005272407732864675,False,False,False
breast_cancer_wisconsin,area_worst,544,0.9560632688927944,0.0035149384885764497,False,False,False
breast_cancer_wisconsin,smoothness_worst,411,0.7223198594024605,0.007029876977152899,False,False,False
breast_cancer_wisconsin,compactness_worst,529,0.929701230228471,0.005272407732864675,False,False,False
breast_cancer_wisconsin,concavity_worst,539,0.9472759226713533,0.022847100175746926,False,False,False
