dataset,variable,q1,q3,iqr,limite_inferior,limite_superior,n_outliers_iqr,pct_outliers_iqr
breast_cancer_wisconsin,radius_mean,11.7,15.78,4.08,5.579999999999999,21.9,14,0.02460456942003515
breast_cancer_wisconsin,texture_mean,16.17,21.8,5.629999999999999,7.725000000000003,30.244999999999997,7,0.012302284710017574
breast_cancer_wisconsin,perimeter_mean,75.17,104.1,28.929999999999993,31.775000000000013,147.49499999999998,13,0.022847100175746926
breast_cancer_wisconsin,area_mean,420.3,782.7,362.40000000000003,-123.30000000000001,1326.3000000000002,25,0.043936731107205626
breast_cancer_wisconsin,smoothness_mean,0.08637,0.1053,0.018930000000000002,0.057975,0.133695,6,0.01054481546572935
breast_cancer_wisconsin,compactness_mean,0.06492,0.1304,0.06547999999999998,-0.03329999999999997,0.22861999999999996,16,0.028119507908611598
breast_cancer_wisconsin,concavity_mean,0.02956,0.1307,0.10114000000000001,-0.12215000000000001,0.28241000000000005,18,0.03163444639718805
breast_cancer_wisconsin,concave_points_mean,0.02031,0.074,0.053689999999999995,-0.060224999999999994,0.15453499999999998,10,0.01757469244288225
breast_cancer_wisconsin,symmetry_mean,0.1619,0.1957,0.033800000000000024,0.11119999999999995,0.24640000000000006,15,0.026362038664323375
breast_cancer_wisconsin,fractal_dimension_mean,0.0577,0.06612,0.008419999999999997,0.045070000000000006,0.07874999999999999,15,0.026362038664323375
breast_cancer_wisconsin,radius_se,0.2324,0.4789,0.2465,-0.13735000000000003,0.84865,38,0.06678383128295255
breast_cancer_wisconsin,texture_se,0.8339,1.474,0.6401,-0.12625000000000008,2.43415,20,0.0351493848857645
breast_cancer_wisconsin,perimeter_se,1.606,3.357,1.7510000000000001,-1.0205,5.9835,38,0.06678383128295255
breast_cancer_wisconsin,area_se,17.85,45.19,27.339999999999996,-23.15999999999999,86.19999999999999,65,0.11423550087873462
breast_cancer_wisconsin,smoothness_se,0.005169,0.008146,0.0029770000000000005,0.0007034999999999993,0.012611500000000001,30,0.05272407732864675
breast_cancer_wisconsin,compactness_se,0.01308,0.03245,0.01937,-0.015974999999999996,0.061505,28,0.0492091388400703
breast_cancer_wisconsin,concavity_se,0.01509,0.04205,0.026959999999999998,-0.025349999999999998,0.08249,22,0.03866432337434095
breast_cancer_wisconsin,concave_points_se,0.007638,0.01471,0.007072000000000001,-0.0029700000000000013,0.025318,19,0.033391915641476276
breast_cancer_wisconsin,symmetry_se,0.01516,0.02348,0.008320000000000001,0.0026799999999999984,0.035960000000000006,27,0.04745166959578207
breast_cancer_wisconsin,fractal_dimension_se,0.002248,0.004558,0.0023100000000000004,-0.0012170000000000006,0.008023,28,0.0492091388400703
breast_cancer_wisconsin,radius_worst,13.01,18.79,5.779999999999999,4.340000000000002,27.459999999999997,17,0.029876977152899824
breast_cancer_wisconsin,texture_worst,21.08,29.72,8.64,8.119999999999997,42.68,5,0.008787346221441126
breast_cancer_wisconsin,perimeter_worst,84.11,125.4,41.290000000000006,22.17499999999999,187.335,15,0.026362038664323375
breast_cancer_wisconsin,area_worst,515.3,1084.0,568.7,-337.7500000000001,1937.0500000000002,35,0.061511423550087874
breast_cancer_wisconsin,smoothness_worst,0.1166,0.146,0.029399999999999996,0.07250000000000001,0.1901,7,0.012302284710017574
breast_cancer_wisconsin,compactness_worst,0.1472,0.3391,0.19190000000000002,-0.14065000000000005,0.6269500000000001,16,0.028119507908611598
breast_cancer_wisconsin,concavity_worst,0.1145,0.3829,0.2684,-0.2881000000000001,0.7855000000000001,12,0.0210896309314587
breast_cancer_wisconsin,concave_points_worst,0.06493,0.1614,0.09646999999999999,-0.07977499999999997,0.30610499999999996,0,0.0
breast_cancer_wisconsin,symmetry_worst,0.2504,0.3179,0.0675,0.14915,0.41915,23,0.040421792618629174
breast_cancer_wisconsin,fractal_dimension_worst,0.07146,0.09208,0.02062,0.04053,0.12301,24,0.0421792618629174
customer_churn,age,29.0,48.0,19.0,0.5,76.5,0,0.0
customer_churn,tenure,16.0,46.0,30.0,-29.0,91.0,0,0.0
customer_churn,usage_frequency,9.0,23.0,14.0,-12.0,44.0,0,0.0
customer_churn,support_calls,1.0,6.0,5.0,-6.5,13.5,0,0.0
customer_churn,payment_delay,6.0,19.0,13.0,-13.5,38.5,0,0.0
customer_churn,total_spend,480.0,830.0,350.0,-45.0,1355.0,0,0.0
customer_churn,last_interaction,7.0,22.0,15.0,-15.5,44.5,0,0.0
madelon,feat_0,477.0,486.0,9.0,463.5,499.5,8,0.004
madelon,feat_1,464.0,503.0,39.0,405.5,561.5,22,0.011
madelon,feat_2,485.0,536.0,51.0,408.5,612.5,24,0.012
madelon,feat_3,477.0,490.0,13.0,457.5,509.5,10,0.005
madelon,feat_4,475.0,528.0,53.0,395.5,607.5,23,0.0115
madelon,feat_5,475.0,484.0,9.0,461.5,497.5,19,0.0095
