row_position,palmitoleic__class_1,stearic__class_1,oleic__class_1,linoleic__class_1,linolenic__class_1,arachidic__class_1,eicosenoic__class_1,other__class_1,palmitoleic__class_2,stearic__class_2,oleic__class_2,linoleic__class_2,linolenic__class_2,arachidic__class_2,eicosenoic__class_2,other__class_2,palmitoleic__class_3,stearic__class_3,oleic__class_3,linoleic__class_3,linolenic__class_3,arachidic__class_3,eicosenoic__class_3,other__class_3
0,0.21390887619959612,0.16554930034108803,0.10134142847496815,0.08240968152115269,0.0007044888687580243,-0.05999175920349746,-0.03542206193314519,0.9855417955256784,-0.810310492238998,-0.7312059119726751,0.057930075346276276,0.170267110006569,0.10231463835709413,0.023881565135185245,0.19619433623655733,-0.6325885644947759,0.13298904773458442,0.008460736125724903,-0.037922835691023074,-0.3067328828467838,-0.07732720303527976,0.04168286047089929,-0.08527452248626066,-1.1920064179335772
1,-0.2809753262301763,-0.14455207470540954,0.12089597328441691,-0.063086959318547,0.006808195337494874,-0.0880252915415804,-0.09953439122390574,-1.5715396198922982,1.0643656259132694,0.6384643812733651,0.06910809277922877,-0.1303443241618869,0.9887708304721292,0.03504117501144004,0.5512972072529508,1.0087223055457237,-0.1746848552343332,-0.007387629896282929,-0.045240314840279815,0.23481276161525724,-0.7472917266875051,0.06116083265356251,-0.2396175496107144,1.9007669907589475
2,-0.2199181843719576,-0.17817752501165626,0.09156415607024379,-0.0395577995787936,0.006155890829385592,-0.03195822686541454,-0.12090516765415925,-1.5715396198922982,0.8330744165308468,0.7869828468060682,0.05234106662980004,-0.08173059388381979,0.8940350542155606,0.012721955258930459,0.6696648309250819,1.0087223055457237,-0.13672508798492125,-0.009106127416741609,-0.03426409611639471,0.14723607323690738,-0.6756924646178017,0.022204888288236066,-0.29106522531886564,1.9007669907589475
3,-0.2584805897560957,-0.16323288043110218,-0.10398129202424375,-0.1936978052208517,-0.010431280948250425,0.37452799203678794,-0.10487708533146911,-1.678084678868047,0.9791530750881665,0.7209746399026447,-0.059439107699724866,-0.40020013305238195,-1.514960399165756,-0.149092387946764,0.5808891131709836,1.0771102584640777,-0.16069967782665512,-0.008342350740982196,0.038910695376172734,0.7209527460828321,1.1449744851546582,-0.2602257083603806,-0.2524794685377522,2.0296325494544694
4,0.7553893184685354,0.3897189690493995,-0.1284244730360547,0.4689601629599588,0.017058694750640726,0.024108837810751328,-0.05145014425583533,1.1986319134771766,-2.8614983228146933,-1.7213290155240297,-0.07341162949091548,0.9689212502891001,2.4774758859324932,-0.009597264493579123,0.28497005399065567,-0.7693644703314841,0.4696322467622637,0.019917386262116105,0.048057544312743665,-1.7454927633482458,-1.8724229877828453,-0.016751056077090376,-0.1238602792673741,-1.449737535324621
5,-0.48021442071488984,-0.3164154873817817,-0.1235358368336925,-0.24891930256925257,-0.009499417365237168,0.2343603303463733,-0.07816361479365222,2.583717680161914,1.8191053617927537,1.3975587606627369,-0.07061712513267736,-0.5142935816641722,-1.3796235759420867,-0.09329433856549005,0.4329295835808196,-1.658407858270088,-0.29855356941662464,-0.016171061667516185,0.04622817452542948,0.9264898718687552,1.0426898250550818,-0.16283584744706453,-0.18816987390256315,-3.1249897983664052
6,-0.26651442421112453,-0.15949671928596365,0.028011885439535335,-0.05156247291540249,0.0066218226208922225,-0.07400852537253894,-0.008708591395328305,-1.4649945609165491,1.0095861289542747,0.7044725881767887,0.016012509972704442,-0.10653351749507851,0.9617034658273954,0.029461370073312648,0.04823480664639342,0.9403343526273695,-0.165694384043683,-0.008151406572042342,-0.010482288881310284,0.19191805710341242,-0.7268347946675899,0.0514218465622309,-0.020964927851071624,1.7719014320634257
7,0.31513519033295867,0.15807697805081097,0.19422551631984974,0.20533753648802766,0.009137854295028024,0.12222620099404159,-0.01939397961045506,0.9855417955256784,-1.193766970951962,-0.6982018085209634,0.11102565815280062,0.4242490477858584,1.327112888531303,-0.04865589906047089,0.107418618482459,-0.6325885644947759,0.19592234606913578,0.008078847787845195,-0.07268086164999261,-0.7642763976397954,-1.0030033769364461,-0.08492395871641165,-0.04668876570514724,-1.1920064179335772
8,-0.2584805897560957,-0.28279003707553496,0.17955960771276316,-0.32334827725622767,-0.017886189612356503,0.024108837810751328,0.108830678971066,-1.4649945609165491,0.9791530750881665,1.2490402951300337,0.10264214507808624,-0.6680717080539763,-2.597654984955112,-0.009597264493579123,-0.6027871235503277,0.9403343526273695,-0.16069967782665512,-0.014452564147057503,-0.06719275228805005,1.2035181718410863,1.9632517659512694,-0.016751056077090376,0.26199728854376014,1.7719014320634257
9,-0.24241292084603816,-0.23795610333387268,0.14045051809386566,-0.3041407999176534,-0.017420257820849872,0.0801759024869172,0.0874599025408125,-1.678084678868047,0.9182869673559498,1.0510156744197627,0.08028611021218127,-0.6283870302759622,-2.5299865733432774,-0.03191648424608871,-0.48441949987819666,1.0771102584640777,-0.15071026539259932,-0.012161234119779263,-0.05255779398953656,1.1320269976546782,1.9121094359014812,-0.05570700044241682,0.2105496128356089,2.0296325494544694
