row_position,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave_points_mean,radius_se,perimeter_se,area_se,concavity_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave_points_worst,symmetry_worst,fractal_dimension_worst
0,1.6300299207339548,0.08710542309861413,1.5353212307810544,1.6456289078549005,-1.1098699169521087,-0.3393798192197016,0.3334618587011195,0.7073252298161156,0.6383980556571641,0.4787064458778646,0.6761603371479603,-0.1831315271249531,1.352946986429649,-0.4365453185048954,1.2344954629625335,1.2992349970886086,-1.1393607819010363,-0.6099995743627072,-0.04335543403027601,0.4263635157186533,0.25523687932731853,-1.3584599402634006
1,-0.1031916206906951,-0.8312668062248945,-0.07345337923528196,-0.21052736520375584,0.31380531060696637,0.44886984925917084,-0.13622047475285537,0.043685694094164916,-0.4451886094106702,-0.44563553263694866,-0.36174239631601973,-0.5092927719907446,0.05182582847121263,-0.8038351936935818,0.07930555282855749,-0.12936735971332586,0.40308474524624927,0.6421964804541923,0.03899427459826809,0.3635991624780884,-0.49136470627443385,1.0741142879669967
2,0.3600908667970255,0.4240792126695134,0.41981978001978854,0.37868588860091984,1.098562875066359,0.9903728084833249,0.7917799027787817,0.8959017633012766,3.323192931661757,3.166118289220776,2.72475864504337,0.49716867661317615,1.3749998874119962,0.34542667383230674,1.434265146669913,1.453157344316854,0.8610657701135105,0.9294833558735307,0.7206404176969692,1.485885573993908,0.17192511441038502,1.1743806861995303
3,-0.5446725793554649,-0.3447905607176095,-0.5734511926261475,-0.5683600718522577,0.5777060844959654,-0.6198076403711795,-0.7979717868965972,-0.4878253830666597,-0.1433865873363277,-0.22652150005337435,-0.33977513457862674,-0.7404770403606283,-0.6979728049285644,-0.7936797132736177,-0.7359863737221385,-0.6658966843374955,-0.767791271159673,-0.9854710298020689,-1.0467842536197047,-0.8241415031314637,-1.0713427620423193,-0.5546576477659273
4,-0.7381611476591599,-0.7743134896776996,-0.762137076318745,-0.6985788914145696,-0.37650355582899503,-0.8377114084988374,-0.7858582037152531,-0.642433163500189,-0.818124746527707,-0.8649994757935909,-0.585445703916994,-0.8107894531928703,-0.7621266986953903,-0.8156832541835395,-0.8074981300637656,-0.6987108990213192,0.9215538300016399,-0.8704313722971947,-0.8162526704474277,-0.7246151715642819,-0.07160158303911356,0.21795065417031256
5,-0.33755805553742485,-0.7410907216918362,-0.36024009973241605,-0.4163484333136083,0.1811604479417065,-0.2887651096289902,-0.6973166524206855,-0.6254487869743732,-0.904107244807468,-0.9097413036390227,-0.6033822754273425,-0.563039433108584,-0.49147745936659387,-0.43823789857488965,-0.5173978067669626,-0.5209390452445216,-0.629532848558236,-0.34706962968544297,-0.42225929569687254,-0.44964752879609166,0.6429570160561259,-0.29953536781870443
6,0.9732588649425384,2.0733523376820164,0.9894375421106475,0.8589350475239089,0.26310858299144846,0.5121382362475597,1.011572752254718,0.8489449576122565,-0.061893135151493694,-0.002570513108131659,0.05341869706957236,0.2041389351761898,1.0462111818570135,2.1886463700557135,1.0955252482095745,0.9271150367565868,0.35987898818330016,0.7795945513069192,1.7621500274036441,1.2408057184831298,0.12225848532529004,0.3917457444400364
7,0.7715947233302369,0.22948871446660024,0.6888059454515831,0.6509616022312081,-0.5876241749401936,-0.5738450180590262,-0.24099672515644077,0.12386194210573673,0.6152622027063849,0.5938259596855704,0.5473797843938859,-0.44045287042200526,0.6993791936801113,-0.09464414436611855,0.6496624758771624,0.5431548958685462,-0.8930879666422257,-0.6418509453331122,-0.3641860907680724,-0.06529058466577352,0.6077097308989619,-1.0598888877487471
8,-0.9207489515513791,-2.274084158753817,-0.9302534297136167,-0.8199191550976329,-0.016765132475043118,-0.8656239321701856,-0.7928516125622147,-0.798289795148852,-0.8108732105282089,-0.8475864400915851,-0.6009638612911157,-0.7522571304686481,-0.9445643340948012,-2.300075975568229,-0.9815004197857004,-0.8032427787873144,0.5110991379036224,-0.7848698463570872,-0.785454831440105,-1.0152739026426134,-1.2908372196119335,-0.3747351664931044
9,-0.6482298412644846,-0.6437954725903801,-0.525983045785243,-0.6197480770927568,0.8971649160458071,1.2304205120569196,0.9628686549276637,0.6296466842348107,-0.3036110018014249,-0.28891821131889556,-0.33413216826076436,0.5545966158897714,-0.5155351695291533,0.1304690049430758,-0.4525450398822478,-0.5026713381009494,0.29074977688258186,0.9856916575860101,0.8601113115013824,1.0838948353817168,4.611480894887761,1.0741142879669967
