row_position,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave_points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave_points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave_points_worst,symmetry_worst,fractal_dimension_worst
0,0.16923922507769965,-0.026517455598571212,-0.008016304974787522,0.15675144121988172,-0.2714235833410822,0.1932632325669542,0.18485954453501469,0.3222913630197251,0.061798454121130386,-0.031884581677600575,0.758176538948619,0.3202276806788973,-0.24191990613587988,0.7195298764936162,-0.487958928803492,0.04189918436630906,0.017780279126202187,-0.02073735708276596,-0.01933353017073293,0.7126855692496715,1.394945672745934,-0.48364025992180765,0.44428369520683136,1.208134389177519,-0.1557078942645904,0.0204292467320035,-0.052716698917514716,0.19207591504405813,0.07855257134699253,0.12903986238278795
1,-9.078857650325438e-05,0.12027492484266834,-0.00011583598860246384,-0.010288229741237694,0.06379040424196149,-0.24884868190864837,-0.08803734053621631,0.021630601156634274,-0.08337852014558948,0.004890598639598058,-0.25926202074688226,0.35979693000364377,0.11533169800768445,-0.18930701949824785,-0.45597019790862026,0.01684573543437861,0.04381928426912554,0.11330108704996807,0.1310984958678366,0.23924547207684735,0.14849818181616323,-0.9116230362166953,0.05902810794849853,-0.024323756609186148,0.036182325292717636,-0.021498970433184564,0.00940818528094754,0.16243380772997226,-0.20433381387478894,-0.0848567639701611
2,0.04517037859521763,-0.08037925927468487,-0.0025382320608357484,0.04273639403102662,0.24856689495846848,-0.5525657902948624,0.4511535004540302,0.407725640477999,0.14748561562441984,0.012345703220907738,3.279076730673451,0.0034932791691101527,-1.2805854805061796,2.5133797886795,0.15923848852811287,-0.04947863445218324,-0.03653132528025644,-0.3870433992592327,0.007722589620376718,-0.5856647556382941,1.4160719014057614,0.42754887670601677,0.5109068418755657,1.3409235097867898,0.09315813278032167,-0.031118411777816234,0.5236442209583929,0.6924629170842241,0.046985850249283104,-0.09367320380151697
3,-0.04322201846955497,0.042516687141236534,0.002339583927438332,-0.04249039851617447,0.1259276312085744,0.35054903405768434,-0.47253098424598833,-0.2191695874939707,0.04651666735621253,0.006616780572854344,0.024116341641220927,-0.17571091990041043,0.030645681954814395,-0.1700714424762841,-0.3294291408880224,0.04906250721041689,0.062275825160497844,-0.13243606052671097,-0.023507902938504115,0.1538357725219835,-0.5697935926179423,-0.8997894110656841,-0.21287157468795895,-0.4871886913043588,-0.109482239133138,0.0330014383328569,-0.8097066173588936,-0.3985077849661122,-0.4240867569011515,0.05836140306808548
4,-0.06212521181774427,0.11117152140445186,0.003266194133096134,-0.05420908249141462,-0.09874749998123143,0.4727664683945422,-0.46549269712769287,-0.28921437921141635,-0.09866030691050734,3.7275522906543516e-05,-0.6094320795330967,0.2750056814506156,0.27741288104927014,-0.3851922533916399,0.33473467515025457,0.06085108216503496,0.06788919985835154,0.23202202515895523,0.04838407250644433,0.2764201974226694,-0.6312517123556197,-0.9254289322262078,-0.23672073008966527,-0.5154975807529286,0.10068323942962795,0.029149479429202218,-0.6357928519408863,-0.3515038719394902,-0.04528610372863703,-0.009574163854639554
5,-0.022987614322197394,0.10586120273215895,0.0012925338208354925,-0.028810529826069745,0.03255827174032189,0.164874554394772,-0.4140478974692236,-0.28151963634100236,-0.04353671893705359,-0.00426567074550037,-0.6901657319754739,0.18871104196579602,0.29470527947066194,-0.4008983667398489,-0.7793921732545614,0.04520813045165836,0.04811013613240637,0.1912437852619562,0.030604336643715122,0.5950168105104168,-0.371975269712293,-0.4856125307803097,-0.13997233449245988,-0.36213344255474883,-0.0922819953632953,0.01162536671876451,-0.3385629869058154,-0.22164321132539913,0.2254592349171023,0.03592846171941347
6,0.10507486455778943,-0.3439986505063684,-0.005335545889236653,0.08595509422896809,0.05185351590363855,-0.284334529623876,0.5788585038375363,0.3864519396009719,-0.055543837109488944,-0.01137053551426528,0.10063498411672711,0.08527774585855592,-0.05590978257604396,0.17422773889849788,-0.4565003978682037,0.018663837679076038,-0.013137365806478818,0.03552265163716223,0.1284701870881288,0.41559499561818486,1.1010990377501642,2.575351841614461,0.397937158393799,0.8871057459463147,0.03080724911464178,-0.026099572815399708,1.3093624095493501,0.5767175456673169,0.02816722805641785,-0.024855992895656286
7,0.08537294473009918,-0.04927596419411228,-0.0038591858131361754,0.06723909688834692,-0.1484572815545216,0.32476960939397476,-0.14891489612642173,0.05795431382432426,0.11528470779834296,-0.02870740623523035,0.736453026042437,0.21853831805253504,-0.2864127799120014,0.60676351211715,-0.3992388022331846,0.03728120466477761,0.03832346715656722,0.030184110663738387,-0.03494877645017329,0.40791426724094887,0.7688410779183453,-0.08524154650444701,0.24924201945198626,0.5558625549759357,-0.125069960049558,0.02149575001151701,-0.29475237492770895,-0.04012059224961537,0.21210408368345607,0.10278646377386176
8,-0.07996343652659897,0.35089447861081724,0.004091790228283902,-0.06512876528652475,-0.014044648484637916,0.488421989445378,-0.4695560381444408,-0.35982496084580434,-0.2367421658935152,0.0007377551479960475,-0.6026232172789203,0.48854732940224915,0.2706828665285123,-0.39878068853559595,0.09048922710211764,0.0562403748724823,0.06321628584286078,0.2718968196604518,0.125841878308421,0.5495468985171799,-0.8060232403596401,-2.655110475132273,-0.29475045639098313,-0.6056774450787851,0.04962001573790728,0.02628455885482278,-0.6125588634574151,-0.4887750593821026,-0.5072529259470402,0.042540791592930345
9,-0.053339220543233735,0.09030955519187273,0.002106474441738259,-0.047114920498139076,0.20114637964184284,-0.6872032713320503,0.5505602360423275,0.28709923018591954,0.47113202818143046,0.02502938786092112,-0.12632709102248604,-0.12459562821950693,0.054761567320863486,-0.16513019333302745,-0.3304895408071894,-0.04016995095933246,-0.04111607110677567,-0.2654889278643513,-0.5504065100705131,-0.2231343762327572,-0.3950220646139219,0.1770704776762901,-0.11834395064637795,-0.34637385461430775,0.02220712722972046,-0.03300047638872244,0.6288615103812223,0.5026122773821019,1.7291278533599201,-0.0848567639701611
