dataset,feature_set,selector,k,n_features,feature_path,source
breast_cancer_wisconsin,variance_k10,variance,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/variance/k_10,reference_k
breast_cancer_wisconsin,f_classif_k10,f_classif,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/f_classif/k_10,reference_k
breast_cancer_wisconsin,mutual_info_k10,mutual_info,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_info/k_10,reference_k
breast_cancer_wisconsin,mutual_correlation_k10,mutual_correlation,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mutual_correlation/k_10,reference_k
breast_cancer_wisconsin,feature_similarity_k10,feature_similarity,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/feature_similarity/k_10,reference_k
breast_cancer_wisconsin,mrmr_approx_k10,mrmr_approx,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/mrmr_approx/k_10,reference_k
breast_cancer_wisconsin,rrfs_k10,rrfs,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/rrfs/k_10,reference_k
breast_cancer_wisconsin,boruta_confirmed_22,boruta,22,22,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/boruta/k_22,confirmed_by_boruta
breast_cancer_wisconsin,rfe_k10,rfe,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/rfe/k_10,reference_k
breast_cancer_wisconsin,l1_logistic_k10,l1_logistic,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/l1_logistic/k_10,reference_k
breast_cancer_wisconsin,random_forest_k10,random_forest,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/random_forest/k_10,reference_k
breast_cancer_wisconsin,linear_svm_k10,linear_svm,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/breast_cancer_wisconsin/linear_svm/k_10,reference_k
customer_churn,variance_k10,variance,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/variance/k_10,reference_k
customer_churn,f_classif_k10,f_classif,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/f_classif/k_10,reference_k
customer_churn,mutual_info_k10,mutual_info,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/mutual_info/k_10,reference_k
customer_churn,mutual_correlation_k10,mutual_correlation,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/mutual_correlation/k_10,reference_k
customer_churn,feature_similarity_k10,feature_similarity,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/feature_similarity/k_10,reference_k
customer_churn,mrmr_approx_k10,mrmr_approx,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/mrmr_approx/k_10,reference_k
customer_churn,rrfs_k10,rrfs,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/rrfs/k_10,reference_k
customer_churn,boruta_confirmed_12,boruta,12,12,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/boruta/k_12,confirmed_by_boruta
customer_churn,rfe_k10,rfe,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/rfe/k_10,reference_k
customer_churn,l1_logistic_k10,l1_logistic,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/l1_logistic/k_10,reference_k
customer_churn,random_forest_k10,random_forest,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/random_forest/k_10,reference_k
customer_churn,linear_svm_k10,linear_svm,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/customer_churn/linear_svm/k_10,reference_k
madelon,variance_k10,variance,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/variance/k_10,reference_k
madelon,f_classif_k10,f_classif,10,10,/home/gosacar/TFG - QFS Last Chance Claude/data/selected_features/madelon/f_classif/k_10,reference_k
