row_position,other__class_1,linolenic__class_1,eicosenoic__class_1,palmitoleic__class_1,stearic__class_1,other__class_2,linolenic__class_2,eicosenoic__class_2,palmitoleic__class_2,stearic__class_2,other__class_3,linolenic__class_3,eicosenoic__class_3,palmitoleic__class_3,stearic__class_3
0,1.0742625399404513,0.0015846883206825785,0.02311062864998243,0.2837070115562311,0.34624642385901255,-0.6358305758462198,0.11901436283177255,0.19606151115227202,-0.6693100922934512,-0.6509018927470379,-1.2714044258379316,-0.10150472109706736,-0.12643099170213729,-0.1289808049175898,-0.007300570678923861
1,-1.7130132393645034,0.01531446146945362,0.06493982077664748,-0.3726571404705036,-0.30233071855349125,1.0138919993223505,1.1501573212287455,0.550923974776294,0.8791576341873042,0.5683456156710202,2.02737462498481,-0.980943772930126,-0.3552653658236528,0.1694199155407416,0.006374612493061706
2,-1.7130132393645034,0.0138471574688216,0.07888288481886915,-0.2916771476879844,-0.37265836050183504,1.0138919993223505,1.0399588371252524,0.6692114626509679,0.6881129146864319,0.7005531768247854,2.02737462498481,-0.886957920062471,-0.43154349053082464,0.13260424223744097,0.007857463680385441
3,-1.8291497301688764,-0.023464287118678318,0.0684255867872029,-0.34282240628747024,-0.34140163074701557,1.0826304399543742,-1.7622311872207195,0.5804958467449624,0.8087727375290883,0.6417942607564453,2.164823752102424,1.5029680528579017,-0.3743348970004458,0.15585624642899928,0.007198418708241559
4,1.3065355215491974,0.03837209576509964,0.033567926681648694,1.001871684390678,0.8150973701813045,-0.7733074571102673,2.8818477857122113,0.2847771270582775,-2.363575104709083,-1.53228563377214,-1.54630268007316,-2.4578643179932778,-0.18363958523251617,-0.4554776971073875,-0.0171862452610821
5,2.816309902006048,-0.021368138546346865,0.05099675673442578,-0.6369076432345137,-0.661783110733915,-1.6669071853265762,-1.6048047813585864,0.4326364869016199,1.5025667188743617,1.2440731504569318,-3.333141332602145,1.3687025487612516,-0.27898724111648093,0.28955527053045943,0.013953629672716357
6,-1.5968767485601303,0.014895231754987328,0.005681798597205334,-0.35347766849569645,-0.3335874483083107,0.9451535586903267,1.118672040056319,0.048202151308929624,0.8339102006213083,0.6271045317393602,1.8899254978671955,-0.954090672110796,-0.03108333581817252,0.16070041396890727,0.007033657465205588
7,1.0742625399404513,0.02055483290028226,0.012653330618316177,0.4179633153798816,0.3306180589816028,-0.6358305758462198,1.5437233358840787,0.10734589524626661,-0.9860421272554242,-0.6215224347128678,-1.2714044258379316,-1.3166075331717515,-0.06922239817175845,-0.19001731592043036,-0.006971048192851918
8,-1.5968767485601303,-0.04023347569732997,-0.0710050536350139,-0.34282240628747024,-0.5914554687855712,0.9451535586903267,-3.0216424341177857,-0.6023790320017771,0.8087727375290883,1.1118655893031664,1.8899254978671955,2.577092085631103,0.3884463500712726,0.15585624642899928,0.01247077848539262
9,-1.8291497301688764,-0.03918540141116424,-0.05706198959279223,-0.32151188187101776,-0.4976852795211129,1.0826304399543742,-2.942929231186719,-0.48409154412710315,0.758497811344648,0.935588841098146,2.164823752102424,2.509959333582778,0.31216822536410077,0.1461679113491833,0.010493643568960973
