row_position,age,tenure,usage_frequency,support_calls,payment_delay,total_spend,last_interaction,gender_Female,gender_Male,subscription_type_Basic,subscription_type_Premium,subscription_type_Standard,contract_length_Annual,contract_length_Monthly,contract_length_Quarterly
0,-0.19094847035314447,-0.07164158196785225,1.07402797296063,2.0822491250130524,1.8197990311614274,-1.1261941031199267,-1.4524769697316067,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,-0.753289144745043,0.6816793121995728,-0.9068256002260303,-1.1727695855863651,1.5777051977240428,1.1066542724392667,1.5738973495964508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,-0.030279706241173435,1.0873136398281862,-1.023346398648775,-0.19626397240653987,-1.4484677202432636,0.00521258026518801,-0.7540828960405166,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3,-0.3516172344651155,0.44988826784036506,-0.09118001126681732,-1.1727695855863651,0.3672360305371203,0.5246610982670256,-0.4048858591949715,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4,-0.5926203806330721,0.10220170130155352,-0.5572632049577961,-0.8472677145264235,-0.48009238649372554,1.5218063598132185,-0.2884868469131231,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,0.050054675814812086,-1.2885445648536926,0.025340787155927396,-0.19626397240653987,-0.11695163633764875,-0.009852920856150024,-0.7540828960405166,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
6,0.050054675814812086,-0.9988057594046831,-0.09118001126681732,-0.5217658434664817,-0.9642800533684945,0.817338547048502,1.8066953741601475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,-1.4762985832489128,-1.056753520494485,0.25838238400141683,1.1057435118332273,-0.48009238649372554,0.5131648343259495,-0.8704819083223649,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8,-1.636967347360884,1.1452614009179882,-0.09118001126681732,-0.8472677145264235,0.6093298639745047,0.7000517531947793,-1.1032799328860616,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
9,1.4157391707665659,1.6667912507262055,-1.6059503907624986,1.1057435118332273,-0.23799855305634102,-0.18823177435342545,-0.7540828960405166,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
