dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__age,density__tenure,density__usage_frequency,density__support_calls,density__payment_delay,density__total_spend,density__last_interaction,density__gender_Female,density__gender_Male,density__subscription_type_Basic,density__subscription_type_Premium,density__subscription_type_Standard,density__contract_length_Annual,density__contract_length_Monthly,density__contract_length_Quarterly
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7747525422595739,2,010100001000010,tenure|support_calls|gender_Male|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7745202516671599,3,010100001001010,tenure|support_calls|gender_Male|subscription_type_Standard|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7730700326856182,3,001100001100010,usage_frequency|support_calls|gender_Male|subscription_type_Basic|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7728857493710211,2,001100001010010,usage_frequency|support_calls|gender_Male|subscription_type_Premium|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7728787859602793,12,001100001000010,usage_frequency|support_calls|gender_Male|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7728429229382158,7,001100001001010,usage_frequency|support_calls|gender_Male|subscription_type_Standard|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7710601523245354,150,000100001100010,support_calls|gender_Male|subscription_type_Basic|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7708740463428594,78,000100001010010,support_calls|gender_Male|subscription_type_Premium|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7708606884409652,305,000100001000010,support_calls|gender_Male|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7708249632062157,203,000100001001010,support_calls|gender_Male|subscription_type_Standard|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7689247728181421,5,010100100000010,tenure|support_calls|last_interaction|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7687290844972945,4,010100100010010,tenure|support_calls|last_interaction|subscription_type_Premium|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7686789898102969,3,010100100001010,tenure|support_calls|last_interaction|subscription_type_Standard|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7672725237801292,10,001100100100010,usage_frequency|support_calls|last_interaction|subscription_type_Basic|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7670908562906066,1,001100100010010,usage_frequency|support_calls|last_interaction|subscription_type_Premium|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7670827803196735,23,001100100000010,usage_frequency|support_calls|last_interaction|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7670334248821791,10,001100100001010,usage_frequency|support_calls|last_interaction|subscription_type_Standard|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
customer_churn,0.4,10000,15,10,85.82423490658402,0.7071067811865475,-0.7652562453246671,179,000100100100010,support_calls|last_interaction|subscription_type_Basic|contract_length_Monthly,0.0,0.017,0.068,1.0,0.0,0.0,0.235,0.0,0.765,0.342,0.085,0.226,0.0,1.0,0.0
