dataset,beta,k,alpha_oracle_k,hamming_distance,q_na_alpha05,q_oracle_alpha05,delta_cost_alpha05,qfs_na_features,oracle_features
breast_cancer_wisconsin,0.0,10,0.953125,4,8.83923097798708,10.719762849016758,-1.8805318710296781,concave_points_worst|texture_worst|concave_points_mean|symmetry_worst|radius_mean|perimeter_worst|smoothness_worst|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.1,10,0.953125,6,6.321240640415362,10.719762849016758,-4.398522208601396,texture_worst|concave_points_mean|radius_mean|fractal_dimension_se|concavity_mean|smoothness_worst|area_worst|texture_mean|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.2,10,0.953125,2,8.544187666281621,10.719762849016758,-2.1755751827351375,texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|smoothness_worst|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.3,10,0.953125,2,14.214441201441254,10.719762849016758,3.4946783524244953,concave_points_worst|texture_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.4,10,0.953125,4,18.33152374103539,10.719762849016758,7.611760892018632,concave_points_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.5,10,0.953125,4,18.33152374103539,10.719762849016758,7.611760892018632,concave_points_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.6,10,0.953125,4,18.33152374103539,10.719762849016758,7.611760892018632,concave_points_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.7,10,0.953125,4,18.33152374103539,10.719762849016758,7.611760892018632,concave_points_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.8,10,0.953125,4,18.33152374103539,10.719762849016758,7.611760892018632,concave_points_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,0.9,10,0.953125,4,18.33152374103539,10.719762849016758,7.611760892018632,concave_points_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
breast_cancer_wisconsin,1.0,10,0.953125,4,18.33152374103539,10.719762849016758,7.611760892018632,concave_points_worst|concave_points_mean|radius_worst|radius_mean|perimeter_worst|concavity_mean|perimeter_mean|area_worst|concavity_worst|area_mean,concave_points_worst|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|concavity_mean|area_worst|concavity_worst|area_mean
